ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
110,Downstairs Club,,617 Brooks St.,Charlestown,WV,"(YC),(D),(P),(*)",Bars/Clubs,,,1973,,4/14/2020 3:50am,7/27/2020 1:17pm
111,Tap Room ,(Downstairs at Quarrier Diner),1022 Quarrier,Charlestown,WV,(M),Bars/Clubs,,,1973,,4/14/2020 3:51am,7/27/2020 1:17pm
112,Chateau Club,(Out of state guests welcome. Open 4 p.m. - 3:30 a.m.),1121 7th Ave.,Huntington,WV,"(YC),(D),(P),(*)",Bars/Clubs,,,1973,,4/14/2020 3:54am,7/27/2020 1:17pm
113,Pla-More Grill,,4th Ave. at 13th St.,Huntington,WV,(M),Bars/Clubs,,,1973,,4/14/2020 3:55am,7/27/2020 1:17pm
115,Tony's Red Cellar,,343 Beechurst ,Morgantown,WV,"(YC),(M),(*)",Bars/Clubs,,,1973,,4/14/2020 3:55am,7/27/2020 1:17pm
117,Downstairs Club,,617 Brooks St.,Charlestown,WV,(*),Bars/Clubs,,,1972,,4/14/2020 3:57am,7/27/2020 1:17pm
118,Quarrier Diner,,1022 Quarrier,Charlestown,WV,"(YC),(M)",Bars/Clubs,,,1972,,4/14/2020 3:57am,7/27/2020 1:17pm
119,Chateau Club,(out-of-state quests wlecome; open 4 pm - 3:30 am),1121 7th Ave.,Huntington,WV,"(D),(P),(*)",Bars/Clubs,,,1972,,4/14/2020 3:58am,7/27/2020 1:17pm
120,Tony's Red Cellar ,(downstairs),343 Beechurst ,Morgantown,WV,"(YC),(M),(*)",Bars/Clubs,,,1972,,4/14/2020 3:58am,7/27/2020 1:17pm
122,Downstairs Club,,617 Brooks St.,Charlestown,WV,(*),Bars/Clubs,,,1971,,4/14/2020 4:00am,7/27/2020 1:17pm
124,Quarrier Diner,,1022 Quarrier,Charlestown,WV,"(R),(C)",Restaurant,,,1971,,4/14/2020 4:01am,7/27/2020 1:17pm
