ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
217,Club,(cloed Tues),1724 N.W. 16th St. ,Oklahoma City,OK,"(P),(YC),(D),(*)",,1973,,,,,
145,Club,,1221 Memorial,Tulsa,OK,"(P),(YC),(G),(D),(*)",Bars/Clubs,1977,,,,,
114,Club,,1221 Memorial,Tulsa,OK,"(P),(G),(D),(*)",Bars/Clubs,1978,,,,,
77,Club,,1221 Memorial,Tulsa,OK,"(P),(G),(D)",Bars/Clubs,1979,,,,,
31,Club,,1221 Memorial,Tulsa,OK,"(P),(L),(D)",Bars/Clubs,1980,,,,,
130,Club One,,3616 N.W. 23rd St.,Oklahoma City,OK,"(P),(YC),(D),(*)",Bars/Clubs,1977,,,,,
266,"Club, The",,1724 N.W. 16th St.,Oklahoma City,OK,"(P),(D),(*)",Bars/Clubs,1970,,,,,
254,"Club, The",,1724 N.W. 16th St.,Oklahoma City,OK,"(P),(D),(*)",Bars/Clubs,1971,,,,,
241,"Club, The",,1724 N.W. 16th St.,Oklahoma City,OK,"(P),(YC),(D),(*)",Bars/Clubs,1972,,,,,
131,Crescendo,,2805 N.W. 36th St.,Oklahoma City,OK,"(P),(G)",Bars/Clubs,1977,,,,,
98,Crescendo,,2805 N.W. 36th St.,,OK,"(P),(G)",Bars/Clubs,1978,,,,,
187,Crescendo Club,"(Some G) (don't miss, but don't confuse with 'straight' club Matador in same bldg . . . next door)",2805 N.W. 36th St.,Oklahoma City,OK,"(P),(D),(G),(*)",Bars/Clubs,1975,,,,,
309,Crystal Light,,2508 E. 15th St.,Tulsa,OK,(M),Bars/Clubs,1965,,,,,
299,Crystal Light,,2508 E. 15th St.,Tulsa,OK,(M),Bars/Clubs,1966,,,,,
291,Crystal Light,,2508 E. 15th St.,Tulsa,OK,(M),Bars/Clubs,1968,,,,,
55,D.J.'s Crescendo,(Many G),2805 N.W. 36th St,Oklahoma City,OK,"(P),(*),(G),(D)",Bars/Clubs,1979,,,,,
12,D.J.'s Crescendo,(Many L),2805 N. W. 36th St.,Oklahoma City,OK,"(P),(L),(D)",,1980,,,,,
132,David's,,1724 N.W. 16th St.,Oklahoma City,OK,"(P),(YC),(D)",Bars/Clubs,1977,,,,,
133,Disco 36,(Unisex) (Disco),715 N.W. 36th St.,Oklahoma City,OK,"(YC),(D),(*)",Bars/Clubs,1977,,,,,
159,Do-Me Club,(some G),2424 N.W. 39th Expressway,Oklahoma City,OK,"(YC),(D),(S),(G)",Bars/Clubs,1976,,,,,
232,Doors Club,"(2 rooms, 1[P])",1811 E. 11th St.,Tulsa,OK,"(YC),(D),(*)",Bars/Clubs,1975,,,,,
146,Doors Club,(Rear entrance),1611 E. 11th St.,Tulsa,OK,"(P),(D)",Bars/Clubs,1977,,,,,
115,Doors Club,(Rear entrance),1611 E. 11th St.,Tulsa,OK,"(P),(D)",Bars/Clubs,1978,,,,,
78,Doors Club,(Rear entrance),1611 E. 11th,Tulsa,OK,"(P),(D)",Bars/Clubs,1979,,,,,
32,Doors Club,,1611 E. 11th,Tulsa,OK,"(P),(D)",Bars/Clubs,1980,,,,,
173,Doors Lounge,"(2 rooms, one is P)",1611 E. 11th St.,Tulsa,OK,"(YC),(D),(*)",Bars/Clubs,1976,,,,,
147,Doors Lounge,,1611 E. 11th St. ,Tulsa,OK,(*),Bars/Clubs,1977,,,,,
116,Doors Lounge,,1611 E. 11th St.,Tulsa,OK,(*),Bars/Clubs,1978,,,,,
311,Eight Day,,1108 S. Lewis ,Tulsa,OK,,Bars/Clubs,1965,,,,,
274,Eight Day,,1108 S. Lewis,Tulsa,OK,,Bars/Clubs,1970,,,,,
301,Eighth Day,,1108 S. Lewis St.,Tulsa,OK,,Bars/Clubs,1966,,,,,
260,Eighth Day,,1108 S. Lewis,Tulsa,OK,(*),Bars/Clubs,1971,,,,,
247,Eighth Day,,1108 S. Lewis,Tulsa,OK,(*),Bars/Clubs,1972,,,,,
227,Eighth Day,,1108 S. Lewis,Tulsa,OK,(G),,1973,,,,,
208,Eighth Day,,1108 S. Lewis,Tulsa,OK,(G),Bars/Clubs,1974,,,,,
293,Eigth Day,,1108 S. Lewis St.,Tulsa,OK,,Bars/Clubs,1968,,,,,
283,Eigth Day,,1108 S. Lewis,Tulsa,OK,(*),Bars/Clubs,1969,,,,,
13,End-Up,('Drags'),2525 W. 10th St.,Oklahoma City,OK,"(P),(D),(S)",,1980,,,,,
99,Free Spirit,(Disco) (Latest 'super bar' - looks promising),3125 N. Classen Blvd,,OK,"(YC),(D),(PT),(BYOB)",Bars/Clubs,1978,,,,,
56,Free Spirit,"('Top' Super Disco) (In old church - 2 floors, several bars)",3125 N. Classen Blvd,Oklahoma City,OK,"(D),(YC),(PT)",Bars/Clubs,1979,,,,,
14,Free Spirit,"('Top' super Disco) (In old church - 2 floors, several bars)",3125 N. Classen Blvd,Oklahoma City,OK,"(D),(P),(YC),(PT)",,1980,,,,,
188,French Quarter,,1724 N.W. 16th St.,Oklahoma City,OK,"(P),(HIP),(YC),(D),(*)",Bars/Clubs,1975,,,,,
148,Friends,(Some B),1716 E. 3rd St.,Tulsa,OK,"(S),(B),(*)",Bars/Clubs,1977,,,,,
117,Friends,(Some B),1716 E. 3rd St.,Tulsa,OK,"(S),(B)",Bars/Clubs,1978,,,,,
79,Friends,(Some chicken),1716 E. 3rd St.,Tulsa,OK,(S),Bars/Clubs,1979,,,,,
33,Friends,('twinkies'),1716 E. 3rd St.,Tulsa,OK,(S),Bars/Clubs,1980,,,,,
261,Friends Lounge,,1716 E. 3rd,Tulsa,OK,,Bars/Clubs,1971,,,,,
248,Friends Lounge,,1716 E. 3rd,Tulsa,OK,,Bars/Clubs,1972,,,,,
228,Friends Lounge,,1716 E. 3rd St.,Tulsa,OK,(*),,1973,,,,,
209,Friends Lounge,,1716 E. 3rd St.,Tulsa,OK,(*),Bars/Clubs,1974,,,,,
233,Friends Lounge,,1716 E. 3rd St.,Tulsa,OK,(*),Bars/Clubs,1975,,,,,
174,Friends Lounge,,1716 E. 3rd St.,Tulsa,OK,(*),Bars/Clubs,1976,,,,,
134,Funny Girl Club,,2422 N.W. 23rd St.,Oklahoma City,OK,"(P),(G),(D),(*)",Bars/Clubs,1977,,,,,
100,Funny Girl Club,"(Some G, B)",2422 N.W. 23rd St.,,OK,"(P),(G),(B),(D),(*)",Bars/Clubs,1978,,,,,
183,Gala,(Can enter thru back of Eighth Day),2300 E. 11th St.,Tulsa,OK,"(P),(D),(BYOB),(G)",,1973,,,,,
210,Gala,(some G) (can enter thru back of Eight Day),2300 E. 11th St.,Tulsa,OK,"(G),(P),(D)",Bars/Clubs,1974,,,,,
15,Godfathers,(Juice Bar - No booze) (Midnight - 4am - AH only),2448 N.W. 39th St.,Oklahoma City,OK,"(AH),(*)",Business,1980,,,,,
57,Gold Diggers,('Drags'),2525 W. 10th St.,Oklahoma City,OK,"(S),(D)",Bars/Clubs,1979,,,,,
34,Happy Pappy's,(C - AH - Sat),3011 E. 15th,Tulsa,OK,"(M),(R),(C),(AH)",Restaurant,1980,,,,,
118,Harvard Book Store,,3735 So. Harvard,Tulsa,OK,(M),Book Store,1978,,,,,
199,Highland Hills Church (M.C.C),,3501 N.W. 63rd St.,Oklahoma City,OK,,Church,1974,,,,,
189,Highland Hills M.C.C Church,,3501 N.W. 63rd St.,Oklahoma City,OK,,Church,1975,,,,,
263,Hiko Lounge,,859 S. Knoxville,Tulsa,OK,"(R),(G),(YC)",Bars/Clubs,1971,,,,,
250,Hiko Lounge,,859 S. Knoxville,Tulsa,OK,"(R),(G),(YC)",Restaurant,1972,,,,,
218,House of Twelve ,(No sign looks like private residence),3337 N.W. 23rd St.,Oklahoma City,OK,"(P),(D),(*)",,1973,,,,,
306,Jug,,411 W. Sheridan,Oklahoma City,OK,(*),Bars/Clubs,1965,,,,,
267,Jungle Pit,,1217 N. May St.,Oklahoma City,OK,"(G),(M)",Bars/Clubs,1970,,,,,
255,Jungle Pit,,1217 N. May St,Oklahoma City,OK,"(G),(M)",Bars/Clubs,1971,,,,,
242,Jungle Pit,(Some G),1217 N. May St,Oklahoma City,OK,"(G),(*)",Bars/Clubs,1972,,,,,
