ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified
152,Mary's Club,(Disco),1101 Cathedral,Baltimore,MD,"(HIP),(YC),(D),(*)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
153,One West,"(also called ""The Body Shop""- adjoins ""The HIppo) at Charles",1 W. Eager,Baltimore,MD,"(YC),(D),(PT),(*)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
155,Peabody Book Store,(This is a bar),921 Charles Street,Baltimore,MD,"(M),(HIP),(YC)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
156,Sanitary European Turkish Baths,,1425 E. Baltimore,Baltimore,MD,"(OC),(RT)",Baths,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
157,Satelite,(Many G),1901 Aliceanna,Baltimore,MD,"(G),(D),(*)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
158,Senator,(Best on Sunday afternoons),612 North Howard Street,Baltimore,MD,"(RT),(*)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
159,724 Magazines & Books,,724 N. Howard,Baltimore,MD,,Book Store,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
160,Shot Tower,,4 N. High St.,Baltimore,MD,"(M),(B),(G),(RT)",Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
161,Tyson Place,"(Can enter through rear of ""Leon's"")",227 W. Chase Street,Baltimore,MD,"(M),(R)",Restaurant,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
162,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,"(M),(H)",Hotels,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
163,Zodiac,,632 S. Bond,Baltimore,MD,,Bars/Clubs,1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
171,Bull Ring Lounge,Colonial Hotel at Antietam,57 S. Potomac,Hagerstown,MD,"(M),(YC),(*)","Bars/Clubs,Hotels",1977,,,4/13/2020 3:37pm,5/7/2020 7:25am
173,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
176,Port of Annapolis Pub,,186 Main St.,Annapolis,MD,(M),Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
177,Cat's Meow Steam Bath,,2206 N. Charles,Baltimore,MD,(M),Baths,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
178,Club East Baths,,1105 Cathedral,Baltimore,MD,(*),Baths,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
179,Club Mitchell,,1003 E. Pratt,Baltimore,MD,"(P),(G),(D),(*)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
180,Fay's Mistake,,2218 Boston,Baltimore,MD,"(M),(RT),(G)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
181,Gallery,[also (SM) in back room called 'Shipmates'],1735 Maryland,Baltimore,MD,"(W),(*),(SM)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
182,Hippoptamus,(Unisex)(Disco) at Charles,1 W. Eager,Baltimore,MD,"(M),(HIP),(YC),(D),(B),(*)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
183,Horse You Came In ON,,1626 Thames,Baltimore,MD,"(M),(YC),(D),(R)",Restaurant,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
184,Howard Bar,,715 Howard St.,Baltimore,MD,"(B),(RT)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
185,Jack's La Sauna,(baths- massage) Marylander Apts.- lower level arcade,3501 St. Paul,Baltimore,MD,,Baths,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
187,Leon's,,870 Park Ave.,Baltimore,MD,(*),Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
188,Mary's Downtown Club,(Some G) (DIsco),1101 Cathedral,Baltimore,MD,"(HIP),(YC),(G),(B),(D),(*)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
189,One West,at Charles (Adjoins the 'Hippo'),1 W. Eager,Baltimore,MD,"(YC),(D),(*)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
191,Peabody Book Store,(a bar),921 Charles St.,Baltimore,MD,"(M),(HIP),(YC)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
192,Sanitary European Turkish Baths,,1425 E. Baltimore,Baltimore,MD,(RT),Baths,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
193,Satelite,,1901 Aliceanna,Baltimore,MD,"(G),(D),(*)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
194,Senator,(Best Sunday afternoons),612 N. Howard St.,Baltimore,MD,"(RT),(*)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
195,724 Magazines & Books,,724 N. Howard St.,Baltimore,MD,,Book Store,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
197,Shot Tower,,4 N. High St.,Baltimore,MD,"(M),(B),(G),(RT)",Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
198,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,,Hotels,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
199,Zodiac,,632 S. Bond,Baltimore,MD,,Bars/Clubs,1976,,,4/13/2020 3:37pm,5/7/2020 7:25am
209,Little Campus,,63 Maryland ,Annapolis,MD,(M),Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
212,Port of Annapolis Pub,,186 Main St.,Annapolis,MD,(M),Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
215,Body Shop,,1 Eager St.,Baltimore,MD,"(P),(YC),(D),(*)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
217,Cat's Meow Steam Baths ,,2206 N. Charles,Baltimore,MD,,Baths,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
218,Club East Baths,,1105 Cathedral,Baltimore,MD,(*),Baths,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
219,Club Mitchell,,1003 E. Pratt,Baltimore,MD,"(P),(G),(D),(*)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
220,Club Nine Hundred,,900 Monument,Baltimore,MD,"(M),(B),(G),(RT),(D)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
222,Fay's Mistake,,2218 Boston,Baltimore,MD,"(M),(G),(RT)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
223,Gallery,,1735 Maryland,Baltimore,MD,"(W),(SM),(*)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
225,Horse You Came In On,,1626 Thames,Baltimore,MD,"(HIP),(YC),(D),(R)",Restaurant,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
226,Howard Bar,,715 Howard St.,Baltimore,MD,"(B),(M),(RT)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
228,Leon's,,870 Park Ave.,Baltimore,MD,(*),Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
229,Mary's Downtown Club,(Weekends*),1101 Cathedral,Baltimore,MD,"(YC),(D),(*)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
232,Peabody Book Store,(bar),921 Charles St.,Baltimore,MD,"(M),(HIP),(YC)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
234,Sanitary European Turkish Baths,,1425 E. Baltimore,Baltimore,MD,,Baths,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
235,Satelite,,1901 Aliceanna,Baltimore,MD,"(G),(D),(*)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
236,Senator,,612 N. Howard St.,Baltimore,MD,"(RT),(*)",Bars/Clubs,1975,,,4/13/2020 3:37pm,5/7/2020 7:25am
237,724 Magazines & Books,,724 N. Howard St.,Baltimore,MD,,Book Store,1975,,,4/14/2020 10:42am,5/7/2020 7:25am
238,Shot Tower,,4 N. High St.,Baltimore,MD,"(M),(B),(G),(RT)",Bars/Clubs,1975,,,4/14/2020 10:42am,5/7/2020 7:25am
239,Y.M.C.H.,,24 W. Franklin,Baltimore,MD,"(M),(H)",Hotels,1975,,,4/14/2020 10:43am,5/7/2020 7:25am
240,Zodiac,,632 S. Bond,Baltimore,MD,,Bars/Clubs,1975,,,4/14/2020 10:43am,5/7/2020 7:25am
245,Eagle's Cafe,,65 N. Mechanic,Cumberland,MD,(M),Restaurant,1975,,,4/14/2020 10:43am,5/7/2020 7:25am
246,Gay Nineties,,41 N. Protomoc St.,Hagerstown,MD,(*),Bars/Clubs,1975,,,4/14/2020 10:43am,5/7/2020 7:25am
249,Barrister Inn,,66 State Circle,Annapolis,MD,(M),Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
250,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
252,Port of Annapolis Bar,,186 Main St.,Annapolis,MD,,Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
256,Body Shop,(behind the 'Hippo'),1 Eager St.,Baltimore,MD,"(YC),(D),(R),(*)",Restaurant,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
258,Cat's Meow Steam Baths,,666 N. Charles St.,Baltimore,MD,,Baths,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
259,Club East Baths,,1105 Cathedral,Baltimore,MD,(*),Baths,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
260,Club Mitchell ,,1000 E. Pratt St.,Baltimore,MD,"(G),(P),(D),(*)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
261,Club Nine- Hundred,,900 Monument ,Baltimore,MD,"(M),(B),(G),(RT),(D),(*)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
264,Fay's Mistake,,2218 Boston,Baltimore,MD,"(M),(G),(RT)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
267,Horse You Came In On,,1626 Thames,Baltimore,MD,"(HIP),(YC),(D),(R)",Restaurant,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
268,Howard Bar,,715 Howard St.,Baltimore,MD,"(B),(M),(RT)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
269,Howard St. Book Store,,700 Howard St.,Baltimore,MD,,Book Store,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
271,Leon's,,870 Park Ave.,Baltimore,MD,(*),Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
272,Mary's,(Downtown Club),1101 Cathedral,Baltimore,MD,"(YC),(D),(*)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
274,Owl's Nest,(after hours),105 E. Madison,Baltimore,MD,"(C),(R)",Restaurant,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
276,Sanitary European Turkish Baths,,1425 E. Baltimore,Baltimore,MD,,Baths,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
277,Satelite,,1901 Aliceanna,Baltimore,MD,"(G),(D),(*)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
278,Senator,,612 N. Howard St.,Baltimore,MD,"(M),(*)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
279,724 Magazines & Books,,724 N. Howard ,Baltimore,MD,,Book Store,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
280,Shot Tower,,4 N. High St.,Baltimore,MD,"(M),(RT),(B),(G)",Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
282,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,"(H),(M)",Hotels,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
283,Zodiac,(was closed- may be re-opening),632 S. Bond St.,Baltimore,MD,,Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
287,Eagle's Cafe,,65 N. Mechanic,Cumberland,MD,(M),Restaurant,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
288,Gay Nineties,,41 N. Protomoc St.,Hagerstown,MD,(*),Bars/Clubs,1974,,,4/14/2020 10:43am,5/7/2020 7:25am
291,Barrister Inn,,66 State Circle,Annapolis,MD,(M),Bars/Clubs,1973,,,4/14/2020 10:43am,5/7/2020 7:25am
292,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1973,,,4/14/2020 10:43am,5/7/2020 7:25am
293,Port of Annapolis Bar,,186 Main St.,Annapolis,MD,(M),Bars/Clubs,1973,,,4/21/2020 8:58am,5/7/2020 7:25am
297,Club East Baths,,1105 Cathedral,Baltimore,MD,(*),Baths,1973,,,4/21/2020 8:58am,5/7/2020 7:25am
299,Fay's Mistake,,2218 Boston St.,Baltimore,MD,(G),Bars/Clubs,1973,,,4/21/2020 8:58am,5/7/2020 7:25am
