ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
123,Okie's Lounge,,1720 Central Ave. S.E.,Albuquerque,NM,"(M),(HIP),(YC)",Bars/Clubs,1972,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
124,Upstairs Club,,2933 Monte Vista Blvd.,Albuquerque,NM,"(P),(YC),(D),(*)",Bars/Clubs,1972,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
126,The Forge,Inn of the Governors,234 Don Gaspar,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1972,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
127,Height's Cocktail Lounge,,4209 Central Ave. N.E.,Albuquerque,NM,(*),Bars/Clubs,1971,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
128,Height's Club,,4217 Central Ave. N.E.,Albuquerque,NM,"(P),(D),(*)",Bars/Clubs,1971,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
130,Okie's Lounge,,1720 Central Ave. S.E.,Albuquerque,NM,"(YC),(M),(HIP)",Bars/Clubs,1971,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
131,La Fonda Hotel Bar,,100 E. San Francisco St.,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1971,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
132,Plaza Bar,"on Lincoln, across from The Plaza",,Santa Fe,NM,"(RT),(M)",Bars/Clubs,1971,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
133,The Forge ,Inn of the Governors,234 Don Gaspar,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1971,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
134,Height's Cocktail Lounge,,4217 Central S.E.,Albuquerque,NM,(*),Bars/Clubs,1970,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
135,News Room,"(side entrance, downstairs)",624 Central Ave. S.W.,Albuquerque,NM,"(D),(*)",Bars/Clubs,1970,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
136,Okie's,,1720 Central Ave. S.E.,Albuquerque,NM,"(M),(YC)",Bars/Clubs,1970,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
137,Scarlett Slipper,Hotel Franciscan,601 Central Ave. N.W.,Albuquerque,NM,,"Bars/Clubs,Hotels",1970,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
138,Claude's,,656 Canyon Rd.,Santa Fe,NM,"(R),(*)",Restaurant,1970,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
139,La Fonda Hotel Bar,,100 E. San Francisco St.,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1970,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
141,Height's Cocktail Lounge,,4217 Central S.E.,Albuquerque,NM,(*),Bars/Clubs,1969,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
142,News Room,"(side entrance, downstairs)",624 Central Ave SW,Albuquerque,NM,"(D),(*)",Bars/Clubs,1969,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
143,Okie Joe's,,1720 Central Ave SE,Albuquerque,NM,"(M),(YC)",Bars/Clubs,1969,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
144,Scarlett Slipper Hotel Franciscan,,601 Central Ave NW,Albuquerque,NM,,"Bars/Clubs,Hotels",1969,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
146,Claude's,,656 Canyon Rd,Santa Fe,NM,"(R),(*)",Restaurant,1969,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
147,La Fonda Hotel Bar,,100 E. San Francisco St.,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1969,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
149,News Room,"(side entrance, downstairs)",624 Central Av SW,Albuquerque,NM,"(D),(*)",Bars/Clubs,1968,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
150,Office,,4418 Central Av SE,Albuquerque,NM,"(M),(*)",Bars/Clubs,1968,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
151,Okie Joe's,(collegiate),1720 Central Av SE,Albuquerque,NM,(M),Bars/Clubs,1968,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
153,Claude's ,,656 Canyon Rd,Santa Fe,NM,"(R),(*)",Restaurant,1968,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
154,La Fonda Hotel Bar,,100 E. San Francisco St.,Santa Fe,NM,(M),"Hotels,Bars/Clubs",1968,,,,4/26/2020 11:39pm,7/27/2020 1:19pm
156,News Room,(side entrance downstairs),624 Central Av SW,Albuquerque,NM,"(D),(*)",Bars/Clubs,1966,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
157,Office,,4418 Central Av SE,Albuquerque,NM,"(M),(*)",Bars/Clubs,1966,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
158,Okie Joe's,(collegiate),1720 Central Av SE,Albuquerque,NM,,Bars/Clubs,1966,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
160,La Fonda Hotel Bar,,100 E. San Francisco St.,Santa Fe,NM,,"Bars/Clubs,Hotels",1966,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
161,Senate,,221 Galisteo St,Santa Fe,NM,,Bars/Clubs,1966,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
162,News Room,"(side entrance, downstairs)",624 Central Av SW,Albuquerque,NM,"(D),(*)",Bars/Clubs,1965,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
163,Office,,4418 Central Av SE,Albuquerque,NM,"(M),(*)",Bars/Clubs,1965,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
164,Okie Joe's ,,1720 Central Av SE,Albuquerque,NM,(M),Bars/Clubs,1965,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
166,Pink Adobe ,,406 College,Santa Fe,NM,"(R),(G)",Restaurant,1965,,,,4/26/2020 11:47pm,7/27/2020 1:19pm
167,Senate,,221 Galisteo,Santa Fe,NM,,Bars/Clubs,1965,,,,4/26/2020 11:53pm,7/27/2020 1:19pm
