ID,Title,description,streetaddress,city,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
178,Y.M.C.A.,,905 Ponce de Leon,San Juan,"(M),(H)",Hotels,,,1976,,4/27/2020 11:59pm,4/28/2020 12:02am
185,Hotel Senadora,(Some G) (Locally popular weekends),15 Mi. S. of San Juan,Aguas Buenas,"(D),(S),(G)",Bars/Clubs,,,1975,,4/28/2020 12:03am,4/28/2020 12:22am
186,Arturo's Furnished Cottages,(Mgmt. provides native entertainment for guests. P.O. Box 428 Tel: 832-7002),105 Limon Rd.,Mayaguez,(H),Hotels,,,1975,,4/28/2020 12:04am,4/28/2020 12:22am
188,Abbey ,(Disco) (Still number 1!),251 Calle Cruz,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1975,,4/28/2020 12:06am,4/28/2020 12:22am
189,Arcos Blancos Guest House,,10 Carrion Court ,Condado,"(M),(H)",Hotels,,,1975,,4/28/2020 12:07am,4/28/2020 12:22am
190,Cabaret,,253 Calle San Jose,San Juan,(S),Bars/Clubs,,,1975,,4/28/2020 12:07am,4/28/2020 12:22am
191,Club Caleta Guest House,,3 Elena St. near Condado,Condado,"(H),(*)",Hotels,,,1975,,4/28/2020 12:07am,4/28/2020 12:22am
192,El Comedor Under the Trees,,1476 Ashford,Condado,"(M),(R)",Restaurant,,,1975,,4/28/2020 12:08am,4/28/2020 12:22am
193,El Doral Guest House,,159 Del Parque,Condado,(H),Hotels,,,1975,,4/28/2020 12:08am,4/28/2020 12:22am
194,Ellos,(back room) (disco),254 San Justo,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1975,,4/28/2020 12:08am,4/28/2020 12:22am
195,El Mar Guest House,"(Recent reports are not good, especially regarding cleanliness)",1 Calle Clemenceau,Condado,(H),Hotels,,,1975,,4/28/2020 12:09am,4/28/2020 12:22am
197,El TIki,,204 Calle Luna,San Juan,"(R),(*)",Restaurant,,,1975,,4/28/2020 12:10am,4/28/2020 12:22am
199,La Gondola Italian,,305 Recinto Sur ,San Juan,"(R),(M)",Restaurant,,,1975,,4/28/2020 12:10am,4/28/2020 12:22am
200,Lion of St. Marks Baths,(Opens 8 p.m. recently remodeled),152 Calle Tanca,San Juan,,Baths,,,1975,,4/28/2020 12:11am,4/28/2020 12:22am
201,Lion's Den,(Nude flicks & wild back room - go go boys),205 Calle Luna,San Juan,"(S),(YC),(*)",Bars/Clubs,,,1975,,4/28/2020 12:11am,4/28/2020 12:22am
204,Little Penthouse,,1019 Ashford Ave.,Condado,"(D),(S)",Bars/Clubs,,,1975,,4/28/2020 12:12am,4/28/2020 12:22am
205,Madrid Guest House,(Rooftop bar & Lounge),112 San Jorge,Condado,"(H),(RT)",Hotels,,,1975,,4/28/2020 12:13am,4/28/2020 12:22am
206,Main St. Bar,(Flicks) (Opens 12 noon),253 Calle San Jose,San Juan,(*),Bars/Clubs,,,1975,,4/28/2020 12:13am,4/28/2020 12:22am
207,Manny's,,109 Calle San Sebastian,San Juan,"(M),(R)",Restaurant,,,1975,,4/28/2020 12:14am,4/28/2020 12:22am
208,Page Two,(Natives) (Flicks),Calle Forteleza & Calle Tanca,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1975,,4/28/2020 12:14am,4/28/2020 12:22am
209,Plaza Patio Bar & Restaurant ,(Opens 12 noon),409 Calle San Francisco,San Juan,,"Restaurant,Bars/Clubs",,,1975,,4/28/2020 12:14am,4/28/2020 12:22am
211,Ray's Bar ,,161 Calle San Jose,San Juan,,Bars/Clubs,,,1975,,4/28/2020 12:15am,4/28/2020 12:22am
212,Rudy's on the Beach,(Unfriendly mgmt.) Atlantic Beach Hotel ,1 Vendig St.,Condado,(M),Bars/Clubs,,,1975,,4/28/2020 12:15am,4/28/2020 12:22am
213,Sam's Patio,(Open 'till 1 a.m.),102 Calle San Sebastian,San Juan,"(M),(R),(*)",Restaurant,,,1975,,4/28/2020 12:16am,4/28/2020 12:22am
214,San Francisco Inn,(also bar opening at 5 p.m.),263 Calle San Francisco,San Juan,"(H),(*)",Hotels,,,1975,,4/28/2020 12:17am,4/28/2020 12:22am
210,Small World ,(Opens 11 a.m. - also small deli adj.),250 Calle San Jose ,San Juan,(*),Bars/Clubs,,,1975,,4/28/2020 12:15am,4/28/2020 12:22am
215,Ten Twenty Club,(Opens 3 p.m.),1020 Ashford ,Condado,"(S),(*)",Bars/Clubs,,,1975,,4/28/2020 12:18am,4/28/2020 12:22am
216,The Jeffrey James,,3 Calle Vendig ,Condado,"(P),(H),(*)",Hotels,,,1975,,4/28/2020 12:18am,4/28/2020 12:22am
218,Top of the Aquarium,(Natives),255 Calle San Justo,San Juan,"(YC),(D),(G)",Bars/Clubs,,,1975,,4/28/2020 12:19am,7/23/2020 11:42am
225,Pinball Gallery,,264 Calle San Francisco,San Juan,Cruisy Area,Cruising Areas,,,1975,,4/28/2020 12:21am,4/28/2020 12:22am
228,Hotel Senadora,(Some G) (locally popular weekends),15 mi. S. of San Juan,Aguas Buenas,"(G),(S),(D)",Bars/Clubs,,,1974,,4/28/2020 12:22am,4/28/2020 12:38am
229,Arturo's Furnished Cottages ,"(Mgmt. provides native entertainment for guests. P.O. Bo 428, tel: 832-7002)",105 Limon Rd.,Mayaguez,(H),Hotels,,,1974,,4/28/2020 12:23am,4/28/2020 12:38am
231,Abbey,(Disco),251 Calle Cruz,San Juan,"(D),(YC),(*)",Bars/Clubs,,,1974,,4/28/2020 12:24am,4/28/2020 12:38am
232,Arcos Blancos Guest House,,10 Carrion Court ,Condado,(H),Hotels,,,1974,,4/28/2020 12:25am,4/28/2020 12:38am
233,Cabaret,,253 Calle San Jose,San Juan,(S),Bars/Clubs,,,1974,,4/28/2020 12:25am,4/28/2020 12:38am
234,Caleta Guest House,,11 Calle Caleta Las Monjas,San Juan,(H),Hotels,,,1974,,4/28/2020 12:25am,4/28/2020 12:38am
235,Casa Madrid Guest House,(Rooftop bar & lounge),112 Calle San Jorge,San Juan,(H),Hotels,,,1974,,4/28/2020 12:26am,4/28/2020 12:38am
236,Casa Mario Guest House,"(El Mirador bar and R on top with good view, but no baths and dirty by American standards) ",255 Calle San Jose,San Juan,(R),Restaurant,,,1974,,4/28/2020 12:26am,4/28/2020 12:38am
237,Club Caleta Guest House,,3 Elena St. nr. Condado,Condado,"(H),(*)",Hotels,,,1974,,4/28/2020 12:27am,4/28/2020 12:38am
238,Club 551 ,,551 De Diego,Puerto Nuevo,(S),Bars/Clubs,,,1974,,4/28/2020 12:27am,4/28/2020 12:38am
239,Downtown Bar,,255 Calle San Jose,San Juan,,Bars/Clubs,,,1974,,4/28/2020 12:27am,4/28/2020 12:38am
240,El Doral Guest House,,159 Del Parque,Condado,(H),Hotels,,,1974,,4/28/2020 12:28am,4/28/2020 12:38am
