ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
364,Gus Midway,,3538 Olive,St. Louis,MO,(*),Bars/Clubs,,,1975,,3/29/2020 9:48pm,7/23/2020 7:22pm
252,Gus's Midway,,3528 Olive St.,St. Louis,MO,(*),Bars/Clubs,,,1977,,3/23/2020 7:17pm,7/23/2020 7:22pm
311,Gus's Midway,,3528 Olive,St. Louis,MO,(*),Bars/Clubs,,,1976,,3/23/2020 8:09pm,7/23/2020 7:22pm
574,Hangout,"(Sun., after hours)",715 E 31st St.,Kansas City,MO,(C),Restaurant,,,1969,,3/30/2020 1:28pm,7/23/2020 7:22pm
81,Helton's,,600 Joplin St.,Joplin,MO,"(M),(R),(C),(AH)",Restaurant,,,1979,,3/20/2020 10:33pm,7/23/2020 7:22pm
238,Herb & Jeanie's ,between 4th and 5th,324 Edmond ,St. Joseph,MO,(M),Bars/Clubs,,,1977,,3/23/2020 7:06pm,7/23/2020 7:22pm
192,Herbie's,(Some G) (Disco),1 Maryland Plaza at Euclid,St. Louis,MO,"(M),(YC),(G),(D),(*)",Bars/Clubs,,,1978,,3/22/2020 2:05am,7/23/2020 7:22pm
253,Herbie's,(Some G) (Disco),1 Maryland Plaza at Euclid ,St. Louis,MO,"(M),(YC),(G),(D),(*)",Bars/Clubs,,,1977,,3/23/2020 7:18pm,7/23/2020 7:22pm
61,Herbie's ,(Unisex) (Disco),1 Maryland Plaza at Euclid ,St. Louis,MO,"(YC),(D),(M),(*)",Bars/Clubs,,,1980,,3/20/2020 9:23pm,7/23/2020 7:22pm
219,Hollywood Disco,,4307 Main St.,Kansas City,MO,"(HIP),(YC),(D),(*)",Bars/Clubs,,,1977,,3/23/2020 6:59pm,7/23/2020 7:22pm
442,Ivanhoe,(some RT) (Only place open on Sundays - serves Sunday brunch),1014 Oak,Kansas City,MO,"(RT),(*)",Bars/Clubs,,,1973,,3/29/2020 10:39pm,7/23/2020 7:22pm
488,Ivanhoe,,1014 Oak,Kansas City,MO,(M),Bars/Clubs,,,1972,,3/30/2020 2:46am,7/23/2020 7:22pm
517,Ivanhoe,Governor Hotel,200 Madison St.,Columbia,MO,(M),Bars/Clubs,,,1971,,3/30/2020 3:04am,7/23/2020 7:22pm
567,Ivanhoe,,9th nr Elm,Columbia,MO,(M),Bars/Clubs,,,1969,,3/30/2020 1:26pm,7/23/2020 7:22pm
591,Ivanhoe,,9th nr Elm,Columbia,MO,(M),Bars/Clubs,,,1968,,3/30/2020 1:39pm,7/23/2020 7:22pm
543,Ivanhoe ,Governor Hotel,200 Madison St.,Columbia,MO,(M),Bars/Clubs,,,1970,,3/30/2020 3:47am,7/23/2020 7:22pm
16,Ivanhoe Cabaret,(Disco) (Super Tuesdays) (Several bars),1014 Oak St.,Kansas City,MO,"(YC),(*),(D),(E),(S)",Bars/Clubs,,,1980,,3/20/2020 8:55pm,7/23/2020 7:22pm
88,Ivanhoe Cabaret,(Disco) (Several bars),1014 Oak St.,Kansas City,MO,"(YC),(D),(E),(S),(R),(*)","Bars/Clubs,Restaurant",,,1979,,3/20/2020 10:37pm,7/23/2020 7:22pm
156,Ivanhoe Cabaret,(Disco) (Several bars),1014 Oak St.,Kansas City,MO,"(*),(YC),(D),(E),(S),(R)","Bars/Clubs,Restaurant",,,1978,,3/21/2020 1:09am,7/23/2020 7:22pm
