ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,Year,unclear type or question,notes,Last Modified
5156,Double R Saloon,,5731 Kirby,Houston,TX,,Bars/Clubs,,1985,,,12/9/2021 2:09am
5697,Douglas Tavern,,318 Tower Ave. ,Superior,WI,(PT),Bars/Clubs,,1985,,,12/10/2021 8:37pm
3387,Dover Fox,(Disco),4334 Main St. ,Kansas City,MO,"(D),(YC),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1602,Downtown Adult Books,,1350 S.W. 1st Ave. ,Ft. Lauderdale,FL,,Book Store,,1985,,,12/5/2021 12:17pm
3528,Downtown Book Store,,516 E. Fremont,Las Vegas,NV,,Book Store,,1985,,,12/5/2021 12:17pm
4274,Downtown Books,,1352 W. 6th St. ,Cleveland,OH,,Book Store,,1985,,,12/5/2021 12:17pm
2584,Downtowner,(Disco)(Some L),105 W. Main St. ,Louisville,KY,"(D),(E),(S),(L),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1272,Dragon Moon,(Disco),1130 Soquel Ave. ,Santa Cruz,CA,"(M),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
498,Drake's After Midnight,,7566 Melrose Ave. ,Hollywood West,CA,(*),Bars/Clubs,,1985,,,12/5/2021 12:17pm
3522,Driftwood Cafe ,(at State Line),41115 Laurel Ave. ,Lake Tahoe,NV,(M),Restaurant,,1985,checked,Cafe?,2/1/2022 4:06am
5587,Driftwood Lounge,(Opens 4pm)(S-WE),1121 7th Ave. ,Huntington,WV,"(*),(P),(YC),(D),(S),(WE)",Bars/Clubs,,1985,,,12/10/2021 3:05pm
349,Driftwood Lounge ,,22170 Mission Blvd.,Hayward,CA,"(L),(PT),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
703,Drive Shaft,(Liquor)(Some W)(Video)(WE brunch),215 W. Hueneme ,Oxnard,CA,"(*),(R),(W),(PT),(WE)",Restaurant,,1985,,,12/5/2021 12:17pm
601,Drive Shaft ,(Van Nuys) (nr. Woodman),13751 Victory ,Valley,CA,"(SM),(W)",Bars/Clubs,,1985,,,2/1/2022 4:10am
4650,Drury Lane,(Days),1306 Drury Lane,Philadelphia,PA,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
563,Duane's,"(Some W,SM,OC)",2006 N. Figueroa ,Silverlake,CA,"(W),(SM),(OC)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4147,Dudes Book Store,"(Flicks, etc.)(Cruisy)",3722 High Point Rd. ,Greensboro,NC,,"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
3427,Duff's,(Open Sun.),392 N. Euclid ,St. Louis,MO,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
4515,Dugan's ,(Beer & wine),1441 N.E. Broadway,Portland,OR,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
3257,Duluth Steam Baths,(Cl. 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Bathhouses,,1985,,,12/5/2021 12:17pm
4031,Dundalk News,(Peeps),8 South Ave. ,Rochester,NY,,Book Store,,1985,,,1/7/2022 12:13pm
1998,Dunk & Dine,(Open late),2305 Cheshire Bridge Rd. ,Atlanta,GA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
