ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified
190,Sand Box ,,1309 Commerce ,Tacoma,WA,"(S),(*)",Bars/Clubs,1973,,,3/20/2020 9:46pm,5/7/2020 7:46am
191,Iron Bull ,,1316 Bay St. ,Bellingham,WA,(M),Bars/Clubs,1974,,,3/20/2020 9:46pm,5/7/2020 7:46am
197,London Cafe ,,2008 Hewitt,Everett,WA,(M),Bars/Clubs,1974,,,3/20/2020 9:46pm,5/7/2020 7:46am
198,Adult Book Store ,,1415 1st Ave. ,Seattle,WA,,Book Store,1974,,,3/20/2020 9:46pm,5/7/2020 7:46am
199,Blue Moon ,,712 N.E. 45th ,Seattle,WA,"(M),(YC)",Bars/Clubs,1974,,,3/20/2020 9:46pm,5/7/2020 7:46am
200,Chicken Coop ,(no booze),411 2nd Ave. ,Seattle,WA,"(HIP),(YC),(R),(D)",Restaurant,1974,,,3/20/2020 9:46pm,5/7/2020 7:46am
201,Atlas Baths ,(4th floor),1318 2nd Ave. ,Seattle,WA,,Baths,1974,,,3/20/2020 10:49pm,5/7/2020 7:46am
202,Dave's Baths ,,2402 1st Ave. ,Seattle,WA,(*),Baths,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
203,Doll House ,(some G)(go-go boys),119 Yessler Way ,Seattle,WA,"(D),(G)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
205,Eleven Eleven Club ,,1111 E. Pike St. ,Seattle,WA,,Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
206,Golden Horseshoe,,207 2nd Ave. S. ,Seattle,WA,"(HIP),(YC),(D),(*)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
209,Mocambo,(Liquor),203 Yessler Way ,Seattle,WA,"(R),(*)",Restaurant,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
210,Mother Morgan's Gumbo Factory ,"(5-12 pm, closed Sun & Mon) ",431 15th Ave. E. ,Seattle,WA,"(R),(M)",Restaurant,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
211,Nine Twenty Two Tavern,,922 3rd Ave.,Seattle,WA,"(W),(SM),(*)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
212,One-O-Seven Club ,(no booze- (C) after hours),107 Occidental S.,Seattle,WA,"(HIP),(YC),(D),(C)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
213,Pike St. Tavern ,,824 Pike St. ,Seattle,WA,(*),Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
214,Roost ,,1416 7th Ave. ,Seattle,WA,"(YC),(D),(S),(*)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
215,Silver Slipper ,,210 S. Jackson ,Seattle,WA,"(G),(D),(*)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
216,Six Eleven Club ,,611 2nd Ave. ,Seattle,WA,(*),Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
219,Sultan's Lavender Cinema & Bookstore ,,1313 1st Ave. ,Seattle,WA,,"Book Store,Theatre",1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
221,Thirteen Coins ,(after hours) ,125 Boren N. ,Seattle,WA,"(M),(PE)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
222,Trojan Shield ,(after hours) ,117 Occidental Ave. S. ,Seattle,WA,"(R),(D),(C),(S),(*)",Restaurant,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
224,Zach's Key ,,2620 3rd Ave. ,Seattle,WA,"(R),(D)",Restaurant,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
231,Dorothy's Tavern,,919 W. Sprague ,Spokane,WA,(*),Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
232,Jack's Nite Hawk ,,330 W. Riverside ,Spokane,WA,(*),Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
233,Matador Lounge ,(bar only) Davenport Hotel ,807 W. Sprague,Spokane,WA,"(M),(PE),(R)","Restaurant,Hotels",1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
236,Barbary Coast ,,1554 S. Jefferson,Tacoma,WA,,Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
237,Sand Box ,,1309 Commerce ,Tacoma,WA,"(S),(*)",Bars/Clubs,1974,,,3/20/2020 10:52pm,5/7/2020 7:46am
238,Iron Bull ,,1316 Bay St. ,Bellingham,WA,(M),Bars/Clubs,1975,,,3/20/2020 10:52pm,5/7/2020 7:46am
246,London Cafe Bar ,,2008 Hewitt,Everett,WA,(M),Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
247,Adult Book Store ,,1415 1st Ave. ,Seattle,WA,,Book Store,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
248,Atlas Baths ,(4th floor),1318 2nd Ave. ,Seattle,WA,(*),Baths,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
249,Blue Moon ,,712 N.E. 45th ,Seattle,WA,"(M),(YC)",Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
250,Columbus ,,167 S. Washington,Seattle,WA,(RT),Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
251,Dave's Baths ,,2402 1st Ave. ,Seattle,WA,(*),Baths,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
252,Doll House ,(Some G)(go go boys) ,119 Yessler Way ,Seattle,WA,"(D),(G)",Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
253,Double Header ,near Yessler ,407 2nd Ave. ,Seattle,WA,"(M),(RT)",Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
254,Eleven Eleven Tavern ,,1111 E. Pike St. ,Seattle,WA,(D),Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
255,Golden Horseshoe,,207 2nd Ave. S. ,Seattle,WA,"(HIP),(YC),(D),(*)",Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
256,Johnny's Handlebar ,near Virgina ,2018 1st Ave.,Seattle,WA,"(W),(SM),(*)",Bars/Clubs,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
257,M.C.C. ,,128 16th Ave. E.,Seattle,WA,,Church,1975,,,3/26/2020 6:50pm,5/7/2020 7:46am
