"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Bi-Way Book Store","('Flicks', erotica)","1020 N. Clark","Chicago","IL","","Book Store",1980,NA,-87.6313627,41.9008205,"Google Verified Location",NA,NA,NA,"1980-IL-0129"
"Big Daddy's","","848 No. Clark St.","Chicago","IL","","Bars/Clubs",1978,NA,-87.6315975,41.8980993,"Google Verified Location",NA,NA,NA,"1978-IL-0130"
"Big Red's ","","642 W. Diversey Pkwy.","Chicago","IL","","Bars/Clubs",1979,NA,-87.6454638,41.9329218,"Google Verified Location",NA,NA,NA,"1979-IL-0131"
"Big Red's ","","642 W. Diversey Pkwy.","Chicago","IL","","Bars/Clubs",1980,NA,-87.6454638,41.9329218,"Google Verified Location",NA,NA,NA,"1980-IL-0132"
"Bijou Theatre","","1349 N. Wells St.","Chicago","IL","","Theatre",1973,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1973-IL-0133"
"Bijou Theatre","","1349 N. Wells St.","Chicago","IL","","Theatre",1974,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1974-IL-0134"
"Bijou Theatre","","1349 N. Wells St.","Chicago","IL","","Theatre",1976,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1976-IL-0135"
"Bijou Theatre","","1349 N. Wells Street","Chicago","IL","","Theatre",1977,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1977-IL-0136"
"Bijou Theatre","","1349 N. Wells St.","Chicago","IL","","Theatre",1980,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1980-IL-0137"
"Bijou Theatre","","1349 No. Wells St.","Chicago","IL","","Theatre",1978,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1978-IL-0138"
"Bijou Theatre","","1349 N. Wells St.","Chicago","IL","","Theatre",1975,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1975-IL-0139"
"Bijou Theatre","","1349 N. Wells St.","Chicago","IL","","Theatre",1979,NA,-87.6342775,41.9071632,"Google Verified Location",NA,NA,NA,"1979-IL-0140"
"Bill's Regulator","","216 E. State St.","Jacksonville","IL","(M),(YC)","Bars/Clubs",1979,NA,-90.227654,39.7344781,"Google Verified Location",NA,NA,NA,"1979-IL-0141"
"Bill's Regulator ","","216 E. State St.","Jacksonville","IL","(M),(YC)","Bars/Clubs",1980,NA,-90.227654,39.7344781,"Google Verified Location",NA,NA,NA,"1980-IL-0142"
"Biograph Theatre","","2433 N. Lincoln","Chicago","IL","","Theatre",1977,NA,-87.6497878,41.9263426,"Google Verified Location",NA,NA,NA,"1977-IL-0143"
"Bistro","(see Dugan's Bistro)","","Chicago","IL","(*)","Bars/Clubs",1975,NA,-87.6297982,41.8781136,"Google Verified Location",NA,NA,NA,"1975-IL-0144"
"Bistro","(see Dugan's Bistro)","","Chicago","IL","(*)","Restaurant",1976,"",-87.629798,41.878114,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1976-IL-0145"
"Bistro","(Disco) (Totally remodeled)","420 N. Dearborn","Chicago","IL","(D),(YC),(*)","Bars/Clubs",1980,NA,-87.6297936,41.8898683,"Google Verified Location",NA,NA,NA,"1980-IL-0146"
"Blue Dahlia","(touristy)","5640 W North","Chicago","IL","(M),(S)","Bars/Clubs",1968,NA,-87.767224,41.90966,"Google Verified Location",NA,NA,NA,"1968-IL-0147"
"Blue Dahlia","(touristy)","5640 W. North St.","Chicago","IL","(M),(S)","Bars/Clubs",1971,NA,-87.767224,41.90966,"Google Verified Location",NA,NA,NA,"1971-IL-0148"
"Blue Dahlia","(touristy)","5640 W North St","Chicago","IL","(M),(S)","Bars/Clubs",1969,NA,-87.767224,41.90966,"Google Verified Location",NA,NA,NA,"1969-IL-0149"
"Blue Dahlia","(touristy)","5640 W. North St","Chicago","IL","(M),(S)","Bars/Clubs",1970,NA,-87.767224,41.90966,"Google Verified Location",NA,NA,NA,"1970-IL-0150"
