ID,title,description,streetaddress,city,Year,notes,full.address,lat,lon,geoAddress,status
153,8709 Club Baths,"(Referral necessary) (Some W,SM) (Upstairs-enter on Hammel Dr.)
",8709  W. 3rd St.,Hollywood,1979,,"8709  W. 3rd St., Hollywood, CA",34.0737038,-118.3821714,"8709 w 3rd st, los angeles, ca 90048, usa",Geocoded
139,8709 Club Baths,"(Some W, SM) (Leather & toy shop) (Enter on Hammel Drive)",8709 W. 3rd St.,Hollywood,1978,,"8709 W. 3rd St., Hollywood, CA",34.0737038,-118.3821714,"8709 w 3rd st, los angeles, ca 90048, usa",Geocoded
1225,8709 Club Baths,(Referral necessary) (Upstairs - enter on Hammel Dr.),8709 W. 3rd St.,Hollywood,1980,,"8709 W. 3rd St., Hollywood, CA",34.0737038,-118.3821714,"8709 w 3rd st, los angeles, ca 90048, usa",Geocoded
433,A Different Drum,(Liquor) (Go go boys),3175 India St.,San Diego,1979,,"3175 India St., San Diego , CA",32.736467,-117.174979,"3175 india st, san diego, ca 92103, usa",Geocoded
1537,A Different Drum,(Liquor) (Go go boys),3175 India St.,San Diego,1980,,"3175 India St., San Diego , CA",32.736467,-117.174979,"3175 india st, san diego, ca 92103, usa",Geocoded
424,A Different Drum,(Disco) (go-go boys- Indian Motif) ,3175 India Street ,San Diego,1977,,"3175 India Street , San Diego , CA",32.736467,-117.174979,"3175 india st, san diego, ca 92103, usa",Geocoded
428,A Different Drum,(Liquor) (go-go boys),3175 India St.,San Diego,1978,,"3175 India St., San Diego , CA",32.736467,-117.174979,"3175 india st, san diego, ca 92103, usa",Geocoded
1591,A Little More,(WE - only),15th & Potrero ,San Francisco,1980,,"15th & Potrero , San Francisco, CA",37.767088,-122.407699,unclear_coded_by_hand,Found
711,A Little More,(WE-only*),15th & Potrero,San Francisco,1979,,"15th & Potrero, CA",37.767088,-122.407699,unclear_coded_by_hand,Found
552,A Little More,15th & Potrero,,San Francisco,1977,,", CA",37.767088,-122.407699,unclear_coded_by_hand,Found
NA,A Little More,(WE*),15th & Potero,San Francisco,1978,,"15th & Potero, CA",37.767088,-122.407699,unclear_coded_by_hand,Found
NA,Acacia,Inquire locally,,Fontana,1978,,", CA",34.092234,-117.435048,unclear_coded_by_hand,General City Coordinates Used
15,Acacia Inn,,16134 Arrow,Fontana,1974,,"16134 Arrow, Fontana, CA",34.0999583,-117.4528399,"16134 arrow blvd, fontana, ca 92335, usa",Geocoded
128,Academy,(Uniforms),6236 Santa Monica Bl.,Hollywood,1979,,"6236 Santa Monica Bl., Hollywood, CA",34.0907477,-118.3256537,"6236 santa monica blvd, los angeles, ca 90038, usa",Geocoded
119,Academy,(Uniforms),6236 Santa Monica Blvd.,Hollywood,1978,,"6236 Santa Monica Blvd., Hollywood, CA",34.0907477,-118.3256537,"6236 santa monica blvd, los angeles, ca 90038, usa",Geocoded
1199,Academy,(Uniforms),6236 Santa Monica Blvd.,Hollywood,1980,,"6236 Santa Monica Blvd., Hollywood, CA",34.0907477,-118.3256537,"6236 santa monica blvd, los angeles, ca 90038, usa",Geocoded
468,Accident ,,990 Post Street ,San Francisco,1977,,"990 Post Street , San Francisco, CA",37.7873051,-122.4182117,"990 post st, san francisco, ca 94109, usa",Geocoded
138,Ace in the Hole,,71835 Hwy 111,Rancho Mirage,1968,,"71835 Hwy 111, Rancho Mirage, CA",33.7395191,-116.4111901,"71835 ca-111, rancho mirage, ca 92270, usa",Geocoded
117,Ace's Pizza,,281 Lighthouse Ave,Monterey,1965,,"281 Lighthouse Ave, Monterey, CA",36.6102848,-121.899246,"281 lighthouse ave, monterey, ca 93940, usa",Geocoded
176,Ace's Pizza Parlor,,281 Lighthouse,Monterey,1969,,"281 Lighthouse, Monterey, CA",36.6102848,-121.899246,"281 lighthouse ave, monterey, ca 93940, usa",Geocoded
147,Ace's Pizza Parlour,,281 Lighthouse,Monterey,1966,,"281 Lighthouse, Monterey, CA",36.6102848,-121.899246,"281 lighthouse ave, monterey, ca 93940, usa",Geocoded
,Ace's Pizza Parlour ,,281 Lighthouse ,Monterey,1968,,"281 Lighthouse , Monterey, CA",36.6102848,-121.899246,"281 lighthouse ave, monterey, ca 93940, usa",Geocoded
197,Acropolis,,6230 Sepulvida Blvd.,Van Nuys,1973,,"6230 Sepulvida Blvd., Van Nuys, CA",34.1840214,-118.4659234,"6230 sepulveda blvd, van nuys, ca 91411, usa",Geocoded
129,Adam & Eve Book Store,,1251 N. Vine St. ,Hollywood,1979,,"1251 N. Vine St. , Hollywood, CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
120,Adam & Eve Book Store,,1251 No. Vine St.,Hollywood,1978,,"1251 No. Vine St., Hollywood, CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
1167,Adam & Eve Book Store,,1251 N. Vine St.,Hollywood,1975,,"1251 N. Vine St., Hollywood, CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
69,Adam & Eve Book Store,,1251 N. Vine St.,Hollywood,1973,,"1251 N. Vine St., Hollywood, CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
65,Adam & Eve Book Store,,1251 N. Vine St.,Los Angeles,1974,,"1251 N. Vine St., Los Angeles , CA",34.0938925,-118.3268601,"1251 vine st, los angeles, ca 90038, usa",Geocoded
