"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address","ID"
"El Canario Guest House","","1317 Ashford Ave.","Condado","PR","","Bars/Clubs",1980,NA,"1317 Ashford Ave., Condado, ",-66.0694683,18.4554951,"1317 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1980-PR-0069"
"El Comedor Under the Trees","","1476 Ashford","Condado","PR","(M),(R)","Restaurant",1975,NA,"1476 Ashford, Condado, ",-66.0635805,18.4543259,"1476 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1975-PR-0070"
"Old San Juan Apts. ","(P.O. Box 2144)","149 A Calle San Justo ","San Juan","PR","(H)","Hotels",1976,NA,"149 A Calle San Justo , San Juan, ",-66.1155957,18.4663814,"149 calle san justo, san juan, 00901, puerto rico","Google Verified Location",NA,"1976-PR-0071"
"Old San Juan Apartments","","149-A Calle San Justo (P.O. Box 2144)","San Juan","PR","(H)","Hotels",1977,NA,"149-A Calle San Justo (P.O. Box 2144), San Juan, ",-66.1155957,18.4663814,"149 calle san justo, san juan, 00901, puerto rico","Google Verified Location",NA,"1977-PR-0072"
"Hotel Senadora","(Some G) (locally popular weekends)","15 mi. S. of San Juan","Aguas Buenas","PR","(G),(S),(D)","Bars/Clubs",1974,NA,"15 mi. S. of San Juan, Aguas Buenas, ",-66.102944,18.256899,"aguas buenas, puerto rico","Location could not be verified. General city or location coordinates used.",NA,"1974-PR-0073"
"Hotel Senadora","(Some G) (Locally popular weekends)","15 Mi. S. of San Juan","Aguas Buenas","PR","(D),(S),(G)","Bars/Clubs",1975,NA,"15 Mi. S. of San Juan, Aguas Buenas, ",-66.102944,18.256899,"aguas buenas, puerto rico","Location could not be verified. General city or location coordinates used.",NA,"1975-PR-0074"
"Hotel Senadora","(Some G) (Locally popular WE)","15 Mi. S. of San Juan","Aguas Buenas","PR","(D),(G),(WE)","Bars/Clubs",1976,NA,"15 Mi. S. of San Juan, Aguas Buenas, ",-66.102944,18.256899,"aguas buenas, puerto rico","Location could not be verified. General city or location coordinates used.",NA,"1976-PR-0075"
"Hotel Senadora ","(Some G) (Locally popular WE)","15 mi. S. of San Juan","Aguas Buenas","PR","(D),(G)","Bars/Clubs",1977,NA,"15 mi. S. of San Juan, Aguas Buenas, ",-66.102944,18.256899,"aguas buenas, puerto rico","Location could not be verified. General city or location coordinates used.",NA,"1977-PR-0076"
"Hotel Sanadora","(Some G) (Natives)","15 mi. S. of San Juan","Aguas Buenas","PR","(D),(G),(WE)","Bars/Clubs",1979,NA,"15 mi. S. of San Juan, Aguas Buenas, ",-66.102944,18.256899,"aguas buenas, puerto rico","Location could not be verified. General city or location coordinates used.",NA,"1979-PR-0077"
"Hotel Sanadora","(Natives) (Some L)","15 mi. S. of San Juan","Aguas Buenas","PR","(D),(WE),(L)","Bars/Clubs",1980,NA,"15 mi. S. of San Juan, Aguas Buenas, ",-66.102944,18.256899,"aguas buenas, puerto rico","Location could not be verified. General city or location coordinates used.",NA,"1980-PR-0078"
"Salvation Bar","","150 Calle Cruz","San Juan","PR","(D)","Bars/Clubs",1973,NA,"150 Calle Cruz, San Juan, ",-66.1164699,18.4658718,"150 calle de la cruz, san juan, 00901, puerto rico","Google Verified Location",NA,"1973-PR-0079"
"Hilltop","","150 San Sebastian","Old San Juan","PR","(D),(*)","Bars/Clubs",1969,NA,"150 San Sebastian, Old San Juan, ",-66.117273,18.4673002,"150 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1969-PR-0080"
"Hilltop","","150 San Sebastian","San Juan","PR","","Bars/Clubs",1970,NA,"150 San Sebastian, San Juan, ",-66.117273,18.4673002,"150 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1970-PR-0081"
"Unique Guest House ","","151 Calle Tetuan","San Juan","PR","","Bars/Clubs",1971,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1971-PR-0082"
"Unique Guest House","","151 Calle Tetuan","San Juan","PR","(H)","Hotels",1972,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1972-PR-0083"
"Annex","(go go boys)","151 Calle Tetuan","San Juan","PR","(YC),(D),(*)","Bars/Clubs",1973,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Google Verified Location",NA,"1973-PR-0084"
