ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified,full.address,lon,lat,geoAddress,status
MD074,Zodiac Club,,2001 Eastern,Baltimore,MD,,Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2001 Eastern, Baltimore, MD",-76.5886125,39.2856009,"2001 eastern ave, baltimore, md 21231, usa",Geocoded
MD075,Bull Ring Lounge,(Closed Sundays) Colonial Hotel at Antietam,57 So. Potomac,Hagerstown,MD,"(YC),(*)","Bars/Clubs,Hotels",1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"57 So. Potomac, Hagerstown, MD",-77.721462,39.6409329,"57 s potomac st, hagerstown, md 21740, usa",Geocoded
MD076,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa",Geocoded
MD077,Port of Annapolis Pub,,186 Main St.,Annapolis,MD,(M),Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"186 Main St., Annapolis, MD",-76.490422,38.978155,"186 main st, annapolis, md 21401, usa",Geocoded
MD078,Barracks,(Baths) (Some W-SM),1114 Cathederal,Baltimore,MD,"(W),(SM),(*)",Baths,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1114 Cathederal, Baltimore, MD",-76.6183009,39.3020316,"1114 cathedral st, baltimore, md 21201, usa",Geocoded
MD079,Club East Baths,,1105 Cathederal,Baltimore,MD,(*),Baths,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1105 Cathederal, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa",Geocoded
MD080,Club Mitchell,,1103 E. Pratt,Baltimore,MD,"(P),(G),(D),(*)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa",Geocoded
MD081,Frankie & Johnnie's,(Some G) ,2218 Boston,Baltimore,MD,"(M),(RT),(G)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2218 Boston, Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa",Geocoded
MD082,Gallery ,"(Some W, SM)",1735 Maryland,Baltimore,MD,"(R),(W),(SM),(*)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa",Geocoded
MD083,Hippopotamus,(Unisex)(Disco) (Wednesday night is B) at Charles,1 West Eager,Baltimore,MD,"(M),(HIP),(YC),(D),(PT),(B)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 West Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD084,Horse you Came In On,,1626 Thames Street,Baltimore,MD,"(M),(YC),(D),(R)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1626 Thames Street, Baltimore, MD",-76.5941298,39.2815385,"1626 thames st, baltimore, md 21231, usa",Geocoded
MD085,Leon's,,870 Park Avenue,Baltimore,MD,(*),Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"870 Park Avenue, Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa",Geocoded
MD086,Mary's Club,(Disco),1101 Cathedral,Baltimore,MD,"(HIP),(YC),(D),(*)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa",Geocoded
MD087,One West,"(also called ""The Body Shop""- adjoins ""The HIppo) at Charles",1 W. Eager,Baltimore,MD,"(YC),(D),(PT),(*)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD088,Peabody Book Store,(This is a bar),921 Charles Street,Baltimore,MD,"(M),(HIP),(YC)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"921 Charles Street, Baltimore, MD",-76.6142727,39.2784225,"921 s charles st, baltimore, md 21230, usa",Geocoded
MD089,Sanitary European Turkish Baths,,1425 E. Baltimore,Baltimore,MD,"(OC),(RT)",Baths,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1425 E. Baltimore, Baltimore, MD",-76.5977944,39.2912747,"1425 e baltimore st, baltimore, md 21231, usa",Geocoded
MD090,Satelite,(Many G),1901 Aliceanna,Baltimore,MD,"(G),(D),(*)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1901 Aliceanna, Baltimore, MD",-76.5897871,39.2835112,"1901 aliceanna st, baltimore, md 21231, usa",Geocoded
MD091,Senator,(Best on Sunday afternoons),612 North Howard Street,Baltimore,MD,"(RT),(*)",Bars/Clubs,1977,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"612 North Howard Street, Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa",Geocoded
