"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"U. of OK - McFarland Library - basement T-Room","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"U. of OK - McFarland Library - basement T-Room","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"U. of OK - McFarland Library Basement T-Rooms","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"U. of OK. - Student Union - basement T-Room","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"U. of OK. - Student Union - basement T-Room","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"U. of OK. - Student Union - Basement T-Rooms","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"U. of Tulsa - Student Union Bldg. - Basement T-Room","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"U. of Tulsa - Student Union Bldg. - Basement T-Room","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"U. of Tulsa Student Union Bldg. - Basement T-Room","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Union 76 Truck Stop - I-244 at E. 161st St","General Coordinates Used","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Union 76 Truck Stop - I-244 at E. 161st St","General Coordinates Used","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Union 76 Truck Stop - on I-40","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Union 76 Truck Stop - on I-40","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Union 76 Truck Stop - on I-44","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Union 76 Truck Stop, I-40 at Morgan Rd.","General Coordinates Used","","","Oklahoma City","OK","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Unique","Found","","23rd at Dewey","Oklahoma City","OK","(R)","",1973,"",NA,NA,NA,NA,NA
"White St. - nr. the U. of OK.","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"White St. - nr. the U. of OK. ","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"White St. - nr. the U. of OK. ","Found","","","Norman","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Will Rogers Park","Found","","","Oklahoma City","OK","Cruisy Areas,(HOT)","Crusing Areas",1975,"",NA,NA,NA,NA,NA
"Will Rogers Park","Found","","","Oklahoma City","OK","Cruisy Areas,(HOT)","Crusing Areas",1976,"",NA,NA,NA,NA,NA
"Will Rogers Park","Found","","","Oklahoma City","OK","Cruisy Areas,(HOT)","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Will Rogers Park","Found","","","Oklahoma City","OK","Cruisy Areas,(HOT)","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Will Rogers Park","Found","","","Oklahoma City","OK","Cruisy Areas,(HOT)","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Will Rogers Park","Found","","","Oklahoma City","OK","Cruisy Areas,(AYOR)","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Woodward Park","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1977,"",NA,NA,NA,NA,NA
"Woodward Park","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1978,"",NA,NA,NA,NA,NA
"Woodward Park","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1979,"",NA,NA,NA,NA,NA
"Woodward Park","Found","","","Tulsa","OK","Cruisy Areas","Crusing Areas",1980,"",NA,NA,NA,NA,NA
"Zipper's","Found","(Disco) (Cl. Mon & Tues.)","33rd & Yale","Tulsa","OK","(YC),(D)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA
