"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"General City Coordinates Used","","on US 34 East","Monmouth","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","on I-74, betw. Peoria & Bloomington","Peoria","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Peoria","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","(Days)","","Peoria","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","(Days)","","Peoria","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","(Days)","","Peoria","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Peoria","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Peoria","IL","Cruisy Area,(RT),(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Hamilton St.","Peoria","IL","(R),(M)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","opp. Sears by river","Peoria","IL","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Peoria","IL","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","Sears by river","Peoria","IL","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
