"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","","","Providence","RI","Cruisy Area","Cruising Areas,Theatre",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Providence","RI","Cruisy Area","Cruising Areas,Theatre",1980,"",NA,NA,NA,NA,NA,NA
"Found","boat house","","Providence","RI","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","near boat house","","Providence","RI","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","nr. boat house","","Providence","RI","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","near Boat House","","Providence","RI","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","Boat house","","Providence","RI","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","boat house ","","Providence","RI","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","boat house & parking area to Nature Trail","","Providence","RI","(*),Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","Lake Tiogue","Providence","RI","","Bars/Clubs",1966,"approximate location",NA,NA,NA,NA,NA,NA
"Found","at Lake Tiogue","","Providence","RI","","Bars/Clubs",1969,"approximate location",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Farewell St.","Newport","RI","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Farewell St.","Newport","RI","","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Farewell St.","Newport","RI","(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Farewell St.","Newport","RI","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Farewell St.","Newport","RI","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
