"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","","","Vincennes","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","'Skinny dipping'","","Bloomington","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","","Bloomington","IN","Cruisy Area,(RT)","Cruising Areas",1980,"Not sure what type is",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","around Monroe Public Library","","Bloomington","IN","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA
"Found","","","Bloomington","IN","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA
"Found","Indiana Univ.","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1974,"",NA,NA,NA,NA,NA,NA
"Found","Indiana U.","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1976,"",NA,NA,NA,NA,NA,NA
"Found","Student Union Bldg-T-Rooms","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1978,"",NA,NA,NA,NA,NA,NA
"Found","University of Indiana","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1977,"",NA,NA,NA,NA,NA,NA
"Found","Student Union Bldg-T-Rooms","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1979,"",NA,NA,NA,NA,NA,NA
"Found","Student Union Bldg. T-Rooms","","Bloomington","IN","Cruisy Area","Cruising Areas,Organizations",1980,"",NA,NA,NA,NA,NA,NA
