ID,Title,status,description,streetaddress,lat/lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
456,Central Square,General City Coordinates Used,downtown,,"41.09978,-80.649519",Youngstown,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/28/2020 1:50am,2/28/2020 2:31am
305,Central Square,General City Coordinates Used,downtown,,"41.09978,-80.649519",Youngstown,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/27/2020 10:15pm,2/27/2020 10:27pm
148,Central Square,General City Coordinates Used,downtown,,"41.09978,-80.649519",Youngstown,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
260,Chez Jay,Found,(Many G) Inquire Locally,,"39.399501,-84.561335",Hamilton,OH,(G),Bars/Clubs,1979,checked,,,2/27/2020 9:41pm,2/27/2020 10:27pm
415,Chez Jay's,Found,(Many G) Inquire Locally,,"39.399501,-84.561335",Hamilton,OH,"(G),(*)",Bars/Clubs,1978,checked,,,2/28/2020 1:49am,2/28/2020 2:31am
1219,Club Steam Baths,Found,,Milner Hotel Jefferson St.,"41.652406,-83.540826",Toledo,OH,,"Baths,Hotels",1969,checked,,See https://www.toledohistorybox.com/2011/02/23/earle-hotel-fire/ for history of hotel.,3/11/2020 12:06am,3/11/2020 1:16am
1048,Commodore Hotel Lounge,General City Coordinates Used,(bar only),Euclid at E. 107th St.," 41.49932,-81.69436 ",Cleveland,OH,(M),"Bars/Clubs,Hotels",1972,checked,,,3/2/2020 9:16pm,3/2/2020 11:10pm
335,Court House,Found,(HOT),Main & Court Sts.,"39.106854,-84.511041",Cincinnati,OH,"(M),(R),(C),(AH),(HOT)",Restaurant,1978,checked,,,2/27/2020 11:47pm,3/28/2020 4:13pm
179,Court House,Found,(HOT) ,Main & Court Sts.,"39.106854,-84.511041",Cincinnati,OH,"(M),(RT),(R),(AYOR),(*),(HOT)",Restaurant,1979,checked,,,2/27/2020 11:55am,3/28/2020 4:13pm
1090,Court House Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1972,checked,,,3/2/2020 10:57pm,3/2/2020 11:10pm
542,Court Square,Found,,,"40.274331,-81.865926",Coshocton,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/29/2020 6:44pm,2/29/2020 7:43pm
401,Court Square,Found,,,"40.274331,-81.865926",Coshocton,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/28/2020 1:33am,2/28/2020 2:31am
247,Court Square,Found,,,"40.274331,-81.865926",Coshocton,OH,Cruisy Area,"Cruising Areas,Bars/Clubs",1979,checked,,,2/27/2020 2:34pm,3/13/2020 9:22pm
89,Court Square,Found,,,"40.274331,-81.865926",Coshocton,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
481,Court's House,Found,(HOT),Main & Court Sts.,"39.106854,-84.511041",Cincinnati,OH,"(M),(R),(C),(AH),(HOT)",Restaurant,1977,checked,,,2/28/2020 1:50am,3/28/2020 4:13pm
930,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1973,checked,,,3/2/2020 3:53am,3/2/2020 7:08pm
860,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1974,checked,,,3/2/2020 3:52am,3/2/2020 8:07pm
790,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1975,checked,,,3/2/2020 3:46am,3/2/2020 3:51am
689,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1976,checked,,,3/2/2020 2:09am,3/2/2020 2:12am
584,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/29/2020 6:44pm,2/29/2020 7:43pm
449,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/28/2020 1:50am,2/28/2020 2:31am
299,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/27/2020 9:57pm,2/27/2020 10:27pm
140,Courthouse Square,Found,,,"41.236713,-80.81892",Warren,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
848,Cruising the Levee',Found,Nothbend Blvd. at Island Park,,"39.778784,-84.195419",Dayton,OH,Cruisy Area,Cruising Areas,1974,checked,,,3/2/2020 3:52am,3/2/2020 8:07pm
884,Dante's Dames,Found,,33rd St. & Lakeside,"41.515931,-81.671547",Cleveland,OH,"(G),(D),(*)",Bars/Clubs,1973,checked,,,3/2/2020 3:52am,3/2/2020 7:08pm
885,Dante's Inferno,Found,"(bar, restaurant, and baths)",2948 W. 25th St.,"41.471899,-81.699901",Cleveland,OH,"(YC),(D),(*)","Bars/Clubs,Restaurant,Baths",1973,checked,,,3/2/2020 3:52am,3/2/2020 7:08pm
125,Denny's,Found,Farmer Sack Shopping Plaza,," 41.614491,-83.622199",Toledo,OH,"(M),(R),(C),(AH)",Restaurant,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
