"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"Found","","Calle Cristo & Calle Luna","San Juan","(M),(R),(*)","Restaurant",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Calle Cristo & Calle Luna","San Juan","(M),(R),(*)","Restaurant",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle San Jose","San Juan","(H)","Hotels",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Sheraton & Hyatt ","La Concha Hotels","San Juan","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","betw. Sheraton & Hyatt La Concha Hotels ('Hustlers')","","San Juan","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","between Sheraton & Hyatt La Concha Hotels","","San Juan","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle San Francisco","San Juan","(M),(RT)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle San Francisco","San Juan","(M),(RT)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","(good during lunchtime)","Calle Cristo at Luna","San Juan","(M),(R)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","Calle Sol at San Juneto","San Juan","","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle San Jose","San Juan","(D)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Luna nr. Plaza Colon","San Juan","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Luna nr. Calle O'Donnel","San Juan","(RT),(M)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle Luna nr. Calle O' Donnel","San Juan","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Best after 2 am)","","San Juan","(YC),(D),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Plaza de Colon","San Juan","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"Found","","San Sebastian at San Jose","San Juan","(*)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Calle de Rio Piedras","San Juan","(D),(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA,NA
