"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","Inquire Locally","","Baltimore","MD","(M),(HIP),(YC)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Center, bet. Charles & St. Paul","Baltimore","MD","(M),(HIP),(YC)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","29th & Howard","Baltimore","MD","(M),(R),(C),(AH)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"Found","","29th & Howard","Baltimore","MD","(M),(R),(C),(AH)","Bars/Clubs,Restaurant",1980,"",NA,NA,NA,NA,NA,NA
"Found","","29th & Howard","Baltimore","MD","(M),(AYOR),(C),(AH)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"Found","","29th & Howard","Baltimore","MD","(M),(R),(C),(AH)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"Found","","29th & Howard","Baltimore","MD","(M),(R),(C),(AH)","Restaurant",1979,"",NA,NA,NA,NA,NA,NA
"Found","","29th & Howard","Baltimore","MD","(M),(R),(C),(AH)","Restaurant",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Paca near Saratoga","Baltimore","MD","(B)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","Paca near Saratoga","Baltimore","MD","(B)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N. of Monument Square","Baltimore","MD","Cruisy Area","Cruisy Areas",1979,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N. of Monument Square","Baltimore","MD","Cruisy Area","Cruisy Areas",1978,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N. of Monument Square","Baltimore","MD","Cruisy Area","Cruisy Areas",1980,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N. of Monument Square","Baltimore","MD","Cruisy Area","Cruisy Areas",1976,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N. of Monument St.","Baltimore","MD","Cruisy Area","Cruisy Areas",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N. of Monument St.","Baltimore","MD","Cruisy Area","Cruisy Areas",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N. of Monument St.","Baltimore","MD","Cruisy Area","Cruisy Areas",1973,"",NA,NA,NA,NA,NA,NA
