"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Dotsie's","Inquire locally","","Rock Springs","WY",1978,"(M),(C),(AH)","Bars/Clubs","",", WY",-109.202904,41.587464,"unclear_coded_by_hand","General Coordinates Used",NA
"Everybody's","Inquire locally","","Laramie","WY",1978,"(P),(M),(AH)","Bars/Clubs","",", WY",-105.591101,41.311367,"unclear_coded_by_hand","General Coordinates Used",NA
"Holiday Park","","","Cheyenne","WY",1980,"Cruisy Area","Cruising Areas","",", WY",-104.799258,41.138812,"unclear_coded_by_hand","Found",NA
"Holiday Park","","","Cheyenne","WY",1979,"Cruisy Area","Cruising Areas","",", WY",-104.799258,41.138812,"unclear_coded_by_hand","Found",NA
"Holiday Park","","","Cheyenne","WY",1978,"Cruisy Area","Cruising Areas","",", WY",-104.799258,41.138812,"unclear_coded_by_hand","Found",NA
"Holiday Park","","","Cheyenne","WY",1977,"Cruisy Area","Cruising Areas","",", WY",-104.799258,41.138812,"unclear_coded_by_hand","Found",NA
"Holiday Park","","","Cheyenne","WY",1976,"Cruisy Area","Cruising Areas","",", WY",-104.799258,41.138812,"unclear_coded_by_hand","Found",NA
"Poor Richard's","E. Lincoln Way at Converse","","Cheyenne","WY",1980,"(M)","Bars/Clubs","",", WY",-104.79007,41.138426,"unclear_coded_by_hand","Found",NA
"Poor Richard's","E. Lincoln Way at Converse","","Cheyenne","WY",1979,"(M)","Bars/Clubs","",", WY",-104.79007,41.138426,"unclear_coded_by_hand","Found",NA
"Rancher Bar","on the square","","Jackson","WY",1978,"(M),(W),(OC)","Bars/Clubs","coordinates for Jackson Sq",", WY",-110.761779,43.479956,"unclear_coded_by_hand","General Coordinates Used",NA
"Trailways Bus Depot","","","Cheyenne","WY",1980,"Cruisy Area","Cruising Areas","",", WY",-104.837364,41.130652,"unclear_coded_by_hand","General Coordinates Used",NA
"Trailways Bus Depot","","","Cheyenne","WY",1979,"Cruisy Area","Cruising Areas","",", WY",-104.837364,41.130652,"unclear_coded_by_hand","General Coordinates Used",NA
"Trailways Bus Depot","","","Cheyenne","WY",1978,"Cruisy Area","Cruising Areas","",", WY",-104.837364,41.130652,"unclear_coded_by_hand","General Coordinates Used",NA
"Vicinity of Holiday Inn","","300 W. F Street","Casper","WY",1980,"Cruisy Area","Cruising Areas,Hotels","","300 W. F Street, WY",-106.328904,42.858143,"unclear_coded_by_hand","Found",NA
"Vicinity of Holiday Inn","","300 W. F Street","Casper","WY",1979,"Cruisy Area","Cruising Areas,Hotels","","300 W. F Street, WY",-106.328904,42.858143,"unclear_coded_by_hand","Found",NA
"Vicinity of Holiday Inn","","300 W. F Street","Casper","WY",1978,"Cruisy Area","Cruising Areas","","300 W. F Street, WY",-106.328904,42.858143,"unclear_coded_by_hand","Found",NA
"Vicinity of Trailways Bus Depot","","","Cheyenne","WY",1977,"Cruisy Area","Cruising Areas","",", WY",-104.837364,41.130652,"unclear_coded_by_hand","General Coordinates Used",NA
"Vicinity of Trailways Bus Depot","","","Cheyenne","WY",1976,"Cruisy Area","Cruising Areas","",", WY",-104.837364,41.130652,"unclear_coded_by_hand","General Coordinates Used",NA
