"ID","Title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
69,"Homestead","(Some G) (Known locally as a disaster area)","124 Snow St.","Providence","RI","(M),(RT),(YC),(B),(G),(D)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:34am","7/27/2020 1:16pm","124 Snow St., Providence, RI","-71.4135536","41.8211599","124 snow st, providence, ri 02903, usa","Geocoded"
70,"La Boheme","('Gold Coin') (Below 'Fife & Drum')","79 Dorrence at Weybosset","Providence","RI","(OC),(E),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:35am","7/27/2020 1:16pm","79 Dorrence at Weybosset, Providence, RI","-71.4112482","41.8230785","79 dorrance st, providence, ri 02903, usa","Geocoded"
71,"M.C.C.","","37 Clemence St.","Providence","RI","M.C.C.","Church",NA,NA,1978,NA,"4/20/2020 2:35am","7/27/2020 1:16pm","37 Clemence St., Providence, RI","-71.4142941","41.8232809","37 clemence st, providence, ri 02903, usa","Geocoded"
72,"Tony Martin's Bar","","125 Broadway","Providence","RI","(M)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:35am","7/27/2020 1:16pm","125 Broadway, Providence, RI","-71.4214869","41.8218312","125 broadway, providence, ri 02903, usa","Geocoded"
73,"Y.M.C.A.","","160 Broad St.","Providence","RI","(M),(H)","Hotels",NA,NA,1978,NA,"4/20/2020 2:36am","7/27/2020 1:16pm","160 Broad St., Providence, RI","-71.4167171","41.8169108","160 broad st, providence, ri 02903, usa","Geocoded"
81,"High Street Cafe","(Some G)","281 High St.","Woonsocket","RI","(G),(D),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:38am","7/27/2020 1:16pm","281 High St., Woonsocket, RI","-71.51802","42.003424","281 high st, woonsocket, ri 02895, usa","Geocoded"
82,"Marti's","(also called 'The Railroad)","176 Railroad St.","Central Falls","RI","(*),(G),(D)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:47am","7/27/2020 1:16pm","176 Railroad St., Central Falls, RI","-71.385617","41.8892471","176 railroad st, central falls, ri 02863, usa","Geocoded"
83,"David's","","28 Prospect Hill off Thames St.","Newport","RI","(YC),(D),(*)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:48am","7/27/2020 1:16pm","28 Prospect Hill off Thames St., Newport, RI","-71.3139778","41.4853787","28 prospect hill st, newport, ri 02840, usa","Geocoded"
84,"Franklin Spa Drug Store","(brunch & lunch)","229 Spring at Franklin","Newport","RI","(M)","Restaurant",NA,NA,1977,NA,"4/20/2020 2:48am","7/27/2020 1:16pm","229 Spring at Franklin, Newport, RI","-71.313379","41.4848546","229 spring st, newport, ri 02840, usa","Geocoded"
85,"Venetian Room","","3 Farewell St.","Newport","RI","(M),(RT)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:49am","7/27/2020 1:16pm","3 Farewell St., Newport, RI","-71.3132894","41.490839","3 farewell st, newport, ri 02840, usa","Geocoded"
87,"Buttery ","","68 Dorrence at Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",NA,NA,1977,NA,"4/20/2020 2:49am","7/27/2020 1:16pm","68 Dorrence at Weybosset, Providence, RI","-71.4111205","41.8233223","68 dorrance st, providence, ri 02903, usa","Geocoded"
88,"Cabana","","681 Valley","Providence","RI","(G),(D),(*)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:50am","7/27/2020 1:16pm","681 Valley, Providence, RI","-71.4288774","41.8309289","681 valley st, providence, ri 02908, usa","Geocoded"
89,"Clemence Street Book Store","","35 Clemence St.","Providence","RI","","Book Store",NA,NA,1977,NA,"4/20/2020 2:50am","7/27/2020 1:16pm","35 Clemence St., Providence, RI","-71.4143073","41.8232912","35 clemence st, providence, ri 02903, usa","Geocoded"
90,"Fanning's Bar","(closes 12 p.m.) (This is a small alley off Weybosset betw. Mathiewson & Union)","93 Clemence","Providence","RI","(YC),(D),(*)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:50am","7/27/2020 1:16pm","93 Clemence, Providence, RI","-71.412755","41.822005","93 clemence st, providence, ri 02903, usa","Geocoded"
91,"Gallery ","(Unisex) (occasional S) (watch for more to come)","194 Richmond","Providence","RI","(*),(YC),(D)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:51am","7/27/2020 1:16pm","194 Richmond, Providence, RI","-71.409122","41.8194591","194 richmond st, providence, ri 02903, usa","Geocoded"
92,"Homestead","(known locally as a ""disaster area"")","124 Snow St.","Providence","RI","(M),(RT),(YC),(B),(G),(D)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 2:51am","7/27/2020 1:16pm","124 Snow St., Providence, RI","-71.4135536","41.8211599","124 snow st, providence, ri 02903, usa","Geocoded"
