"title","description","streetaddress","city","state","amenityfeatures","type","notes","Year","lon","lat","status","unclear_address","full.address","geoAddress"
"Harborside","","401 E. River","Savannah","GA","(M),(PE)","Bars/Clubs","",1976,-81.0864434,32.0804374,"Geocoded",NA,NA,NA
"Harborside ","","41 E. River ","Savannah","GA","(M),(PE)","Bars/Clubs","",1977,-81.089954,32.0811735,"Geocoded",NA,NA,NA
"Harper's","","539 W. Fairbanks","Winter Park","FL","(YC),(*)","Bars/Clubs","",1974,-81.3557302,28.5933262,"Geocoded",NA,NA,NA
"Harper's","","539 W. Fairbanks","Winter Park","FL","(YC),(*)","Bars/Clubs","",1975,-81.35573,28.593326,"Found",NA,NA,NA
"Harper's","","539 W. Fairbanks","Winter Park","FL","(YC),(*)","Bars/Clubs","",1976,-81.3557302,28.5933262,"Geocoded",NA,NA,NA
"Harper's","","539 W. Fairbanks ","Winter Park","FL","(YC)","Bars/Clubs","",1973,-81.3557302,28.5933262,"Geocoded",NA,NA,NA
"Harper's ","","539 W. Fairbanks","Winter Park","FL","(YC),(*)","Bars/Clubs","",1972,-81.3557302,28.5933262,"Geocoded",NA,NA,NA
"Harrell Hall T-Rooms -N.C. State U.","","","Raleigh","NC","Cruisy Area","Cruising Areas","This building was demonlished in 2016. Approximate location.",1978,-78.670675,35.786777,"Found",NA,NA,NA
"Harrigan ","","2202 Kirby ","Houston","TX","(M),(PE),(R)","Bars/Clubs","",1977,-95.4189265,29.7458097,"Geocoded",NA,NA,NA
"Harrigan's","","2202 Kirby","Houston","TX","(M),(PE),(R)","Restaurant","",1974,-95.4189265,29.7458097,"Geocoded",NA,NA,NA
"Harrigan's","","2202 Kirby","Houston","TX","(M),(PE),(R)","Restaurant","",1976,-95.4189265,29.7458097,"Geocoded",NA,NA,NA
"Harrigan's ","","2202 Kirby","Houston","TX","(M),(PE),(R)","Bars/Clubs","",1975,-95.4189265,29.7458097,"Geocoded",NA,NA,NA
