"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","806 7th St.","Parkersburg","WV","","Theatre",1977,NA,"806 7th St., Parkersburg, WV",-81.5497114,39.2635942,"806 seventh st, parkersburg, wv 26101, usa","Geocoded",NA,NA
"","1150 Water St.","Wheeling","WV","(*)","Bars/Clubs",1977,NA,"1150 Water St., Wheeling, WV",-80.72432,40.067255,"1150 water st, wheeling, wv 26003, usa","Geocoded",NA,NA
"","712 Bland","Bluefield","WV","(M)","Bars/Clubs",1976,NA,"712 Bland, Bluefield, WV",-81.221881,37.2666074,"712 bland st, bluefield, wv 24701, usa","Geocoded",NA,NA
"","617 Brooks St.","Charlestown","WV","(P),(YC),(D),(*)","Bars/Clubs",1976,NA,"617 Brooks St., Charlestown, WV",-81.6256421,38.3500112,"617 brooks st, charleston, wv 25301, usa","Geocoded",NA,NA
"(Some RT) (downstairs at Quarrier Diner)","1022 Quarrier","Charlestown","WV","(M),(RT)","Bars/Clubs",1976,NA,"1022 Quarrier, Charlestown, WV",-81.6325878,38.3482742,"1022 quarrier st, charleston, wv 25301, usa","Geocoded",NA,NA
"","500 Carolina","Charlestown","WV","(M),(D)","Bars/Clubs",1976,NA,"500 Carolina, Charlestown, WV",-77.8597175,39.2889903,"charles town, wv 25414, usa","Geocoded",NA,NA
"","Box 284-C, R.I., Harpers Ferry, W. Va. 25425","Harpers Ferry","WV","(P),(H)","Hotels",1976,NA,"Box 284-C, R.I., Harpers Ferry, W. Va. 25425, Harpers Ferry, WV",-77.7292072,39.3228225,"harpers ferry, 171 shoreline dr, harpers ferry, wv 25425, usa","Geocoded",NA,NA
"","P.O. Box 301, Harpers Ferry, W. Va 25425","Harpers Ferry","WV","(P),(H),(W),(SM)","Bars/Clubs",1976,NA,"P.O. Box 301, Harpers Ferry, W. Va 25425, Harpers Ferry, WV",-77.7292072,39.3228225,"harpers ferry, 171 shoreline dr, harpers ferry, wv 25425, usa","Geocoded",NA,NA
"(out of state guest welcome. Opens 4 pm)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1976,NA,"1121 7th Ave., Huntington, WV",-82.4382673,38.4171622,"1121 7th ave, huntington, wv 25701, usa","Geocoded",NA,NA
"(Some G)","4th Ave. at 1st St.","Huntington","WV","(P),(YC),(G),(D),(*)","Bars/Clubs",1976,NA,"4th Ave. at 1st St., Huntington, WV",-82.457584,38.4184036,"4th ave & 1st st, huntington, wv 25701, usa","Geocoded",NA,NA
"","712 Bland ","Bluefield","WV","(M)","Bars/Clubs",1975,NA,"712 Bland , Bluefield, WV",-81.221881,37.2666074,"712 bland st, bluefield, wv 24701, usa","Geocoded",NA,NA
"","617 Brooks St.","Charlestown","WV","(P),(YC),(D),(*)","Bars/Clubs",1975,NA,"617 Brooks St., Charlestown, WV",-81.6256421,38.3500112,"617 brooks st, charleston, wv 25301, usa","Geocoded",NA,NA
"(downstairs at Quarrier Diner)","1022 Quarrier","Charlestown","WV","(M),(YC)","Bars/Clubs",1975,NA,"1022 Quarrier, Charlestown, WV",-81.6325878,38.3482742,"1022 quarrier st, charleston, wv 25301, usa","Geocoded",NA,NA
"","Box 284-C, R.I., Harpers Ferry, W. Va. 25425","Harpers Ferry","WV","(H),(P)","Hotels",1975,NA,"Box 284-C, R.I., Harpers Ferry, W. Va. 25425, Harpers Ferry, WV",-77.7292072,39.3228225,"harpers ferry, 171 shoreline dr, harpers ferry, wv 25425, usa","Geocoded",NA,NA
