"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(G only) (also C-AH)","1103 E. Pratt","Baltimore","MD","(P),(G),(D),(PT),(C),(AH),(*)","Bars/Clubs",1978,NA,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa","Geocoded",NA,NA
"","2308 Boston St.","Baltimore","MD","(M),(G),(D)","Bars/Clubs",1978,NA,"2308 Boston St., Baltimore, MD",-76.5842286,39.2832008,"2308 boston st, baltimore, md 21224, usa","Geocoded",NA,NA
"(Adjoins 'Hippo""- opens 4 p.m.) at Charles","1 W. Eager","Baltimore","MD","(YC),(D),(PT),(*)","Bars/Clubs",1978,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"","205 W. Fayette","Baltimore","MD","(AYOR)","Business",1978,NA,"205 W. Fayette, Baltimore, MD",-76.6182332,39.2903704,"205 w fayette st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some G)","2218 Boston St.","Baltimore","MD","(M),(YC),(G),(D)","Bars/Clubs",1978,NA,"2218 Boston St., Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa","Geocoded",NA,NA
"& Shipmate's Disco Room","1735 Maryland","Baltimore","MD","(R),(W),(SM),(*)","Restaurant",1978,NA,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Unisex)(Disco) at Charles","1 W. Eager","Baltimore","MD","(*),(M),(HIP),(YC),(D),(PT)","Bars/Clubs",1978,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"(E. Baltimore)","2204 Fleet St.","Baltimore","MD","(RT)","Bars/Clubs",1978,NA,"2204 Fleet St., Baltimore, MD",-76.5855388,39.2850652,"2204 fleet st, baltimore, md 21231, usa","Geocoded",NA,NA
"(Some OC)","870 Park Ave.","Baltimore","MD","(OC),(*)","Bars/Clubs",1978,NA,"870 Park Ave., Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Disco) ('Drags')","1642 Light St.","Baltimore","MD","(D),(S),(RT)","Bars/Clubs",1978,NA,"1642 Light St., Baltimore, MD",-76.6117352,39.2707219,"1642 light st, baltimore, md 21230, usa","Geocoded",NA,NA
"(Disco)","1101 Cathedral","Baltimore","MD","(YC),(D),(*)","Bars/Clubs",1978,NA,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","2233 St. Paul St.","Baltimore","MD","M.C.C.","Church",1978,NA,"2233 St. Paul St., Baltimore, MD",-76.6149136,39.3152395,"2233 st paul st, baltimore, md 21218, usa","Geocoded",NA,NA
"(6 a.m. to 2 a.m.)","704 No. Howard","Baltimore","MD","(B)","Bars/Clubs",1978,NA,"704 No. Howard, Baltimore, MD",-76.6201738,39.2976088,"704 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Disco- WE)","100 Albemarle","Baltimore","MD","(G),(D),(WE),(*)","Bars/Clubs",1978,NA,"100 Albemarle, Baltimore, MD",-76.6039212,39.2884704,"100 albemarle st, baltimore, md 21202, usa","Geocoded",NA,NA
"(Best Sun.)","612 No. Howard St.","Baltimore","MD","(E),(OC),(*)","Bars/Clubs",1978,NA,"612 No. Howard St., Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some G)","4 No. High St.","Baltimore","MD","(G)","Bars/Clubs",1978,NA,"4 No. High St., Baltimore, MD",-76.6045234,39.2904544,"4 n high st, baltimore, md 21202, usa","Geocoded",NA,NA
"(Some YC, RT)","2318 Fleet St.","Baltimore","MD","(PT),(D),(YC),(RT)","Bars/Clubs",1978,NA,"2318 Fleet St., Baltimore, MD",-76.583657,39.2850985,"2318 fleet st, baltimore, md 21224, usa","Geocoded",NA,NA
"(Some SM) (Adjoins Gallery)","1735 Maryland Ave.","Baltimore","MD","(R),(SM),(*)","Restaurant",1978,NA,"1735 Maryland Ave., Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa","Geocoded",NA,NA
"","516 York Rd.","Baltimore","MD","","Book Store",1978,NA,"516 York Rd., Baltimore, MD",-76.6017813,39.4011275,"516 york rd, towson, md 21204, usa","Geocoded",NA,NA
"(Some B)","1425 E. Baltimore","Baltimore","MD","(OC),(B),(*)","Baths",1978,NA,"1425 E. Baltimore, Baltimore, MD",-76.5977944,39.2912747,"1425 e baltimore st, baltimore, md 21231, usa","Geocoded",NA,NA
"(Can enter thru rear of Leon's)","227 W. Chase St.","Baltimore","MD","(M),(R)","Restaurant",1978,NA,"227 W. Chase St., Baltimore, MD",-76.6191881,39.3016308,"227 w chase st, baltimore, md 21201, usa","Geocoded",NA,NA
"","24 W. Franklin","Baltimore","MD","(M),(H)","Hotels",1978,NA,"24 W. Franklin, Baltimore, MD",-76.6165858,39.2954574,"24 w franklin st, baltimore, md 21201, usa","Geocoded",NA,NA
"","2001 Eastern","Baltimore","MD","","Bars/Clubs",1978,NA,"2001 Eastern, Baltimore, MD",-76.5886125,39.2856009,"2001 eastern ave, baltimore, md 21231, usa","Geocoded",NA,NA
"(Closed Sundays) Colonial Hotel at Antietam","57 So. Potomac","Hagerstown","MD","(YC),(*)","Bars/Clubs,Hotels",1978,NA,"57 So. Potomac, Hagerstown, MD",-77.721462,39.6409329,"57 s potomac st, hagerstown, md 21740, usa","Geocoded",NA,NA
"","63 Maryland","Annapolis","MD","(M)","Bars/Clubs",1977,NA,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa","Geocoded",NA,NA
"","186 Main St.","Annapolis","MD","(M)","Bars/Clubs",1977,NA,"186 Main St., Annapolis, MD",-76.490422,38.978155,"186 main st, annapolis, md 21401, usa","Geocoded",NA,NA
"(Baths) (Some W-SM)","1114 Cathederal","Baltimore","MD","(W),(SM),(*)","Baths",1977,NA,"1114 Cathederal, Baltimore, MD",-76.6183009,39.3020316,"1114 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1105 Cathederal","Baltimore","MD","(*)","Baths",1977,NA,"1105 Cathederal, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1103 E. Pratt","Baltimore","MD","(P),(G),(D),(*)","Bars/Clubs",1977,NA,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa","Geocoded",NA,NA
"(Some G) ","2218 Boston","Baltimore","MD","(M),(RT),(G)","Bars/Clubs",1977,NA,"2218 Boston, Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa","Geocoded",NA,NA
"(Some W, SM)","1735 Maryland","Baltimore","MD","(R),(W),(SM),(*)","Bars/Clubs",1977,NA,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Unisex)(Disco) (Wednesday night is B) at Charles","1 West Eager","Baltimore","MD","(M),(HIP),(YC),(D),(PT),(B)","Bars/Clubs",1977,NA,"1 West Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1626 Thames Street","Baltimore","MD","(M),(YC),(D),(R)","Bars/Clubs",1977,NA,"1626 Thames Street, Baltimore, MD",-76.5941298,39.2815385,"1626 thames st, baltimore, md 21231, usa","Geocoded",NA,NA
"","870 Park Avenue","Baltimore","MD","(*)","Bars/Clubs",1977,NA,"870 Park Avenue, Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Disco)","1101 Cathedral","Baltimore","MD","(HIP),(YC),(D),(*)","Bars/Clubs",1977,NA,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"(also called ""The Body Shop""- adjoins ""The HIppo) at Charles","1 W. Eager","Baltimore","MD","(YC),(D),(PT),(*)","Bars/Clubs",1977,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"(This is a bar)","921 Charles Street","Baltimore","MD","(M),(HIP),(YC)","Bars/Clubs",1977,NA,"921 Charles Street, Baltimore, MD",-76.6142727,39.2784225,"921 s charles st, baltimore, md 21230, usa","Geocoded",NA,NA
"","1425 E. Baltimore","Baltimore","MD","(OC),(RT)","Baths",1977,NA,"1425 E. Baltimore, Baltimore, MD",-76.5977944,39.2912747,"1425 e baltimore st, baltimore, md 21231, usa","Geocoded",NA,NA
"(Many G)","1901 Aliceanna","Baltimore","MD","(G),(D),(*)","Bars/Clubs",1977,NA,"1901 Aliceanna, Baltimore, MD",-76.5897871,39.2835112,"1901 aliceanna st, baltimore, md 21231, usa","Geocoded",NA,NA
"(Best on Sunday afternoons)","612 North Howard Street","Baltimore","MD","(RT),(*)","Bars/Clubs",1977,NA,"612 North Howard Street, Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"","724 N. Howard","Baltimore","MD","","Book Store",1977,NA,"724 N. Howard, Baltimore, MD",-76.620332,39.29788,"724 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"","4 N. High St.","Baltimore","MD","(M),(B),(G),(RT)","Bars/Clubs",1977,NA,"4 N. High St., Baltimore, MD",-76.6045234,39.2904544,"4 n high st, baltimore, md 21202, usa","Geocoded",NA,NA
"(Can enter through rear of ""Leon's"")","227 W. Chase Street","Baltimore","MD","(M),(R)","Restaurant",1977,NA,"227 W. Chase Street, Baltimore, MD",-76.6191881,39.3016308,"227 w chase st, baltimore, md 21201, usa","Geocoded",NA,NA
"","24 W. Franklin","Baltimore","MD","(M),(H)","Hotels",1977,NA,"24 W. Franklin, Baltimore, MD",-76.6165858,39.2954574,"24 w franklin st, baltimore, md 21201, usa","Geocoded",NA,NA
"","632 S. Bond","Baltimore","MD","","Bars/Clubs",1977,NA,"632 S. Bond, Baltimore, MD",-76.5954768,39.2837771,"632 s bond st, baltimore, md 21231, usa","Geocoded",NA,NA
"Colonial Hotel at Antietam","57 S. Potomac","Hagerstown","MD","(M),(YC),(*)","Bars/Clubs,Hotels",1977,NA,"57 S. Potomac, Hagerstown, MD",-77.721462,39.6409329,"57 s potomac st, hagerstown, md 21740, usa","Geocoded",NA,NA
"","63 Maryland","Annapolis","MD","(M)","Bars/Clubs",1976,NA,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa","Geocoded",NA,NA
"","186 Main St.","Annapolis","MD","(M)","Bars/Clubs",1976,NA,"186 Main St., Annapolis, MD",-76.490422,38.978155,"186 main st, annapolis, md 21401, usa","Geocoded",NA,NA
"","2206 N. Charles","Baltimore","MD","(M)","Baths",1976,NA,"2206 N. Charles, Baltimore, MD",-76.6170776,39.3144569,"2206 n charles st, baltimore, md 21218, usa","Geocoded",NA,NA
"","1105 Cathedral","Baltimore","MD","(*)","Baths",1976,NA,"1105 Cathedral, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1003 E. Pratt","Baltimore","MD","(P),(G),(D),(*)","Bars/Clubs",1976,NA,"1003 E. Pratt, Baltimore, MD",-76.6012464,39.2878684,"1003 e pratt st, baltimore, md 21202, usa","Geocoded",NA,NA
"","2218 Boston","Baltimore","MD","(M),(RT),(G)","Bars/Clubs",1976,NA,"2218 Boston, Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa","Geocoded",NA,NA
"[also (SM) in back room called 'Shipmates']","1735 Maryland","Baltimore","MD","(W),(*),(SM)","Bars/Clubs",1976,NA,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Unisex)(Disco) at Charles","1 W. Eager","Baltimore","MD","(M),(HIP),(YC),(D),(B),(*)","Bars/Clubs",1976,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1626 Thames","Baltimore","MD","(M),(YC),(D),(R)","Restaurant",1976,NA,"1626 Thames, Baltimore, MD",-76.5941298,39.2815385,"1626 thames st, baltimore, md 21231, usa","Geocoded",NA,NA
"","715 Howard St.","Baltimore","MD","(B),(RT)","Bars/Clubs",1976,NA,"715 Howard St., Baltimore, MD",-76.6197451,39.2982162,"715 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"(baths- massage) Marylander Apts.- lower level arcade","3501 St. Paul","Baltimore","MD","","Baths",1976,NA,"3501 St. Paul, Baltimore, MD",-76.6157291,39.3304334,"3501 st paul st, baltimore, md 21218, usa","Geocoded",NA,NA
"","870 Park Ave.","Baltimore","MD","(*)","Bars/Clubs",1976,NA,"870 Park Ave., Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some G) (DIsco)","1101 Cathedral","Baltimore","MD","(HIP),(YC),(G),(B),(D),(*)","Bars/Clubs",1976,NA,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"at Charles (Adjoins the 'Hippo')","1 W. Eager","Baltimore","MD","(YC),(D),(*)","Bars/Clubs",1976,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"(a bar)","921 Charles St.","Baltimore","MD","(M),(HIP),(YC)","Bars/Clubs",1976,NA,"921 Charles St., Baltimore, MD",-76.6158047,39.299935,"921 n charles st, baltimore, md 21201, usa","Geocoded",NA,NA
"","1425 E. Baltimore","Baltimore","MD","(RT)","Baths",1976,NA,"1425 E. Baltimore, Baltimore, MD",-76.5977944,39.2912747,"1425 e baltimore st, baltimore, md 21231, usa","Geocoded",NA,NA
"","1901 Aliceanna","Baltimore","MD","(G),(D),(*)","Bars/Clubs",1976,NA,"1901 Aliceanna, Baltimore, MD",-76.5897871,39.2835112,"1901 aliceanna st, baltimore, md 21231, usa","Geocoded",NA,NA
"(Best Sunday afternoons)","612 N. Howard St.","Baltimore","MD","(RT),(*)","Bars/Clubs",1976,NA,"612 N. Howard St., Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"","724 N. Howard St.","Baltimore","MD","","Book Store",1976,NA,"724 N. Howard St., Baltimore, MD",-76.620332,39.29788,"724 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"","4 N. High St.","Baltimore","MD","(M),(B),(G),(RT)","Bars/Clubs",1976,NA,"4 N. High St., Baltimore, MD",-76.6045234,39.2904544,"4 n high st, baltimore, md 21202, usa","Geocoded",NA,NA
"","24 W. Franklin","Baltimore","MD","","Hotels",1976,NA,"24 W. Franklin, Baltimore, MD",-76.6165858,39.2954574,"24 w franklin st, baltimore, md 21201, usa","Geocoded",NA,NA
"","632 S. Bond","Baltimore","MD","","Bars/Clubs",1976,NA,"632 S. Bond, Baltimore, MD",-76.5954768,39.2837771,"632 s bond st, baltimore, md 21231, usa","Geocoded",NA,NA
