"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"(opens 8 p.m., above Rialto Theatre)","152 Calle Tanca","San Juan","","Baths",1977,NA,"152 Calle Tanca, San Juan, ",-66.1142629,18.4662027,"152 ca. tanca, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"($3.00 minimum - nude go-go boys - ""flicks"" and ""wild"" back room)","205 Calle Luna betw. La Cruz & San Cristo","San Juan","","Bars/Clubs",1977,NA,"205 Calle Luna betw. La Cruz & San Cristo, San Juan, ",NA,NA,NA,"Geocoded",NA,NA,NA
"(closes 3 a.m.)","607 Ponce de Leon Avenue ","Miramar","","Bars/Clubs",1977,NA,"607 Ponce de Leon Avenue , Miramar, ",-66.0855432,18.4571143,"607 av. juan ponce de león, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"E in back room - opens 12 noon)","257 Calle San Jose betw. Tetuan & Fortaleza","San Juan","(OC),(*),(E)","Bars/Clubs",1977,NA,"257 Calle San Jose betw. Tetuan & Fortaleza, San Juan, ",-66.1057355,18.4655394,"san juan, puerto rico","Geocoded",NA,NA,NA
"","149-A Calle San Justo (P.O. Box 2144)","San Juan","(H)","Hotels",1977,NA,"149-A Calle San Justo (P.O. Box 2144), San Juan, ",-66.1155957,18.4663814,"149 calle san justo, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Natives) ","1708 Calle San Mateo nr. Ponce de Leon & San Jorge","Santurce","(RT),(*),(D)","Bars/Clubs",1977,NA,"1708 Calle San Mateo nr. Ponce de Leon & San Jorge, Santurce, ",-66.0625024,18.4437961,"1708 calle san mateo, san juan, 00912, puerto rico","Geocoded",NA,NA,NA
"(Opens 12 noon)","409 Calle San Francisco","San Juan","(M),(OC),(R),(RT)","Restaurant",1977,NA,"409 Calle San Francisco, San Juan, ",-66.1120179,18.4665551,"409 c. de san francisco, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Some B) (Disco)","161 Calle San Jose","San Juan","(B),(RT)","Bars/Clubs",1977,NA,"161 Calle San Jose, San Juan, ",-66.1170763,18.4654846,"161 calle san josé, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","1125 Seaview St.","Condado","(H)","Hotels",1977,NA,"1125 Seaview St., Condado, ",-66.0729104,18.4572154,"1125 cll seaview, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"(Open until 1 a.m.)","102 Calle San Francisco","San Juan","(E),(M),(R),(*)","Restaurant",1977,NA,"102 Calle San Francisco, San Juan, ",-66.117466,18.4651636,"102 c. de san francisco, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(also bar from 5 p.m.)","263 Calle San Francisco","San Juan","(H),(R),(*)","Hotels,Restaurant",1977,NA,"263 Calle San Francisco, San Juan, ",-66.1146751,18.4660618,"263 c. de san francisco, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Opens 11 a.m. - best during cocktail hour)","250 Calle San Jose nr. Fortaleza","San Juan","(E)","Bars/Clubs",1977,NA,"250 Calle San Jose nr. Fortaleza, San Juan, ",-66.1192296,18.4641061,"63 c. de la fortaleza, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(also P small guest house above)","204 Calle Cristo","San Juan","(P)","Bars/Clubs",1977,NA,"204 Calle Cristo, San Juan, ",-66.1179593,18.4648842,"204 calle del cristo, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Opens 3 p.m.) ","1020 A Ashford Avenue ","Condado","(*),(E)","Bars/Clubs",1977,NA,"1020 A Ashford Avenue , Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"(Disco) (Nude go-go boys, 'flicks', and ""wild"" back room)","254 San Justo between Fortaleza & Tetuan","San Juan","(D),(*)","Bars/Clubs",1977,NA,"254 San Justo between Fortaleza & Tetuan, San Juan, ",-38.5269947,-3.7327177,"fortaleza - zone 1, fortaleza - state of ceará, brazil","Geocoded",NA,NA,NA
"(upstairs) (natives)","255 Calle San Justo","San Juan","(G),(YC),(D),(*)","Bars/Clubs",1977,NA,"255 Calle San Justo, San Juan, ",-66.1151063,18.4647194,"255 calle san justo, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","905 Ponce de Leon","San Juan","(M),(H)","Hotels",1977,NA,"905 Ponce de Leon, San Juan, ",-66.0801215,18.4545643,"905 av. juan ponce de león, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"(Some G) (Locally popular WE)","15 Mi. S. of San Juan","Aguas Buenas","(D),(G),(WE)","Bars/Clubs",1976,NA,"15 Mi. S. of San Juan, Aguas Buenas, ",-66.1029442,18.2568989,"aguas buenas, puerto rico","Geocoded",NA,NA,NA
"(if you dig native 'teenie boppers' - this is the place - P.O. Box 428 - Tel: 832-7002)","105 Limon Rd.","Mayaguez","(H)","Hotels",1976,NA,"105 Limon Rd., Mayaguez, ",-67.1408927,18.201412,"pr-105, puerto rico","Geocoded",NA,NA,NA
"","43 Calle Luna","Ponce","(M)","Bars/Clubs",1976,NA,"43 Calle Luna, Ponce, ",-66.6151379,18.0102754,"43 calle luna, ponce, 00730, puerto rico","Geocoded",NA,NA,NA
"(Some G) (Disco) (upstairs - $3.00 min.)","251 Calle Cruz nr. Calle Fortaleza","San Juan","(G),(YC),(D),(*)","Bars/Clubs",1976,NA,"251 Calle Cruz nr. Calle Fortaleza, San Juan, ",-66.1160016,18.4647393,"251 calle de la cruz, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","10 Carrion Ct. ","Condado","(M),(H)","Hotels",1976,NA,"10 Carrion Ct. , Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Geocoded",NA,NA,NA
"","253 Calle San Jose","San Juan","(S)","Bars/Clubs",1976,NA,"253 Calle San Jose, San Juan, ",-66.1168755,18.4642625,"253 calle san josé, san juan, 00925, puerto rico","Geocoded",NA,NA,NA
"(nr. Condado)","3 Elena St.","Condado","(H),(*)","Hotels",1976,NA,"3 Elena St., Condado, ",-66.0716319,18.4560735,"condado, san juan, puerto rico","Geocoded",NA,NA,NA
"(Disco) ($3.00) (Locally known as 'Dirty Dick's' - should be called 'Big Dicks' if you consider the go-go boys who 'perform' on stage behind the back bar - also flicks & wild back room - upstairs)","254 Calle San Justo betw. Fortaleza & Tetuan","San Juan","(D),(*)","Bars/Clubs",1976,NA,"254 Calle San Justo betw. Fortaleza & Tetuan, San Juan, ",-3.7093035,40.4140287,"calle de san justo, 28005 madrid, spain","Geocoded",NA,NA,NA
"","101 Calle Tetuan","San Juan","(M),(RT),(AYOR)","Bars/Clubs",1976,NA,"101 Calle Tetuan, San Juan, ",-66.1174348,18.4639499,"101 calle de tetuan, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(looks promising - upstairs - opp. Hyatt La Concha Hotel)","1102 Ashford Ave. ","Condado","(OC),(E)","Bars/Clubs",1976,NA,"1102 Ashford Ave. , Condado, ",-66.0742949,18.4568083,"1102 ashford ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","1 Calle Clemenceau ","Condado","(H)","Hotels",1976,NA,"1 Calle Clemenceau , Condado, ",-66.0753342,18.4568079,"cll clemenceau, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","103 Calle San Sebastian","San Juan","(H)","Hotels",1976,NA,"103 Calle San Sebastian, San Juan, ",-66.1178651,18.4672741,"103 calle san sebastián, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","204 Calle Luna ","San Juan","(R),(*)","Restaurant",1976,NA,"204 Calle Luna , San Juan, ",-66.1159372,18.4662047,"204 calle de la luna, toa baja, san juan 00949, puerto rico","Geocoded",NA,NA,NA
"(Rooftop bar & R above La Vista Guest House)","151 Calle Tetuan nr. San Jose","San Juan","(R)","Restaurant",1976,NA,"151 Calle Tetuan nr. San Jose, San Juan, ",-66.1170393,18.4640813,"107 calle tetuan esq, calle san josé, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","4 Condado Av. ","Condado","(M),(H),(OC)","Hotels",1976,NA,"4 Condado Av. , Condado, ",-66.0713763,18.4567631,"4 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"(military)","607 Ponce de Leon Ave.","Miramar","(M),(RT)","Bars/Clubs",1976,NA,"607 Ponce de Leon Ave., Miramar, ",-66.0855432,18.4571143,"607 av. juan ponce de león, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","320 Calle Sol.","San Juan","(H),(AYOR)","Hotels",1976,NA,"320 Calle Sol., San Juan, ",-66.1136764,18.4672888,"320 calle sol, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","365 Calle Tetuan","San Juan","(M),(R)","Restaurant",1976,NA,"365 Calle Tetuan, San Juan, ",-66.1123986,18.4653944,"365 calle de tetuan, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(see also Finocchio's)","151 Calle Tetuan ","San Juan","(H),(*)","Hotels",1976,NA,"151 Calle Tetuan , San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(opens 8 pm - above Rialto Theatre)","152 Calle Tanca","San Juan","","Baths",1976,NA,"152 Calle Tanca, San Juan, ",-66.1142629,18.4662027,"152 ca. tanca, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
