"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress"
"Height's Cocktail Lounge","","4209 Central Ave. N.E.","Albuquerque","NM","(*)","Bars/Clubs",1971,NA,-106.5969714,35.0791739,"Geocoded",NA,NA,NA
"Height's Club","","4217 Central Ave. N.E.","Albuquerque","NM","(P),(D),(*)","Bars/Clubs",1971,NA,-106.5967446,35.0791649,"Geocoded",NA,NA,NA
"Okie's Lounge","","1720 Central Ave. S.E.","Albuquerque","NM","(YC),(M),(HIP)","Bars/Clubs",1971,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 E. San Francisco St.","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1971,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"Plaza Bar","on Lincoln, across from The Plaza","","Santa Fe","NM","(RT),(M)","Bars/Clubs",1971,NA,-105.937799,35.6869752,"Geocoded",NA,NA,NA
"The Forge ","Inn of the Governors","234 Don Gaspar","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1971,NA,-105.9403374,35.6853861,"Geocoded",NA,NA,NA
"Height's Cocktail Lounge","","4217 Central S.E.","Albuquerque","NM","(*)","Bars/Clubs",1970,NA,-106.604692,35.0798635,"Geocoded",NA,NA,NA
"News Room","(side entrance, downstairs)","624 Central Ave. S.W.","Albuquerque","NM","(D),(*)","Bars/Clubs",1970,NA,-106.6550759,35.084691,"Geocoded",NA,NA,NA
"Okie's","","1720 Central Ave. S.E.","Albuquerque","NM","(M),(YC)","Bars/Clubs",1970,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"Scarlett Slipper","Hotel Franciscan","601 Central Ave. N.W.","Albuquerque","NM","","Bars/Clubs,Hotels",1970,NA,-106.6542274,35.0851933,"Geocoded",NA,NA,NA
"Claude's","","656 Canyon Rd.","Santa Fe","NM","(R),(*)","Restaurant",1970,NA,-105.9268908,35.6810064,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 E. San Francisco St.","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1970,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"Height's Cocktail Lounge","","4217 Central S.E.","Albuquerque","NM","(*)","Bars/Clubs",1969,NA,-106.604692,35.0798635,"Geocoded",NA,NA,NA
"News Room","(side entrance, downstairs)","624 Central Ave SW","Albuquerque","NM","(D),(*)","Bars/Clubs",1969,NA,-106.6550759,35.084691,"Geocoded",NA,NA,NA
"Okie Joe's","","1720 Central Ave SE","Albuquerque","NM","(M),(YC)","Bars/Clubs",1969,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"Scarlett Slipper Hotel Franciscan","","601 Central Ave NW","Albuquerque","NM","","Bars/Clubs,Hotels",1969,NA,-106.6542274,35.0851933,"Geocoded",NA,NA,NA
"Claude's","","656 Canyon Rd","Santa Fe","NM","(R),(*)","Restaurant",1969,NA,-105.9268908,35.6810064,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 E. San Francisco St.","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1969,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"News Room","(side entrance, downstairs)","624 Central Av SW","Albuquerque","NM","(D),(*)","Bars/Clubs",1968,NA,-106.6550759,35.084691,"Geocoded",NA,NA,NA
"Office","","4418 Central Av SE","Albuquerque","NM","(M),(*)","Bars/Clubs",1968,NA,-106.5945255,35.078539,"Geocoded",NA,NA,NA
"Okie Joe's","(collegiate)","1720 Central Av SE","Albuquerque","NM","(M)","Bars/Clubs",1968,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"Claude's ","","656 Canyon Rd","Santa Fe","NM","(R),(*)","Restaurant",1968,NA,-105.9268908,35.6810064,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 E. San Francisco St.","Santa Fe","NM","(M)","Hotels,Bars/Clubs",1968,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"News Room","(side entrance downstairs)","624 Central Av SW","Albuquerque","NM","(D),(*)","Bars/Clubs",1966,NA,-106.6550759,35.084691,"Geocoded",NA,NA,NA
"Office","","4418 Central Av SE","Albuquerque","NM","(M),(*)","Bars/Clubs",1966,NA,-106.5945255,35.078539,"Geocoded",NA,NA,NA
"Okie Joe's","(collegiate)","1720 Central Av SE","Albuquerque","NM","","Bars/Clubs",1966,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 E. San Francisco St.","Santa Fe","NM","","Bars/Clubs,Hotels",1966,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"Senate","","221 Galisteo St","Santa Fe","NM","","Bars/Clubs",1966,NA,-105.9409599,35.6860637,"Geocoded",NA,NA,NA
"News Room","(side entrance, downstairs)","624 Central Av SW","Albuquerque","NM","(D),(*)","Bars/Clubs",1965,NA,-106.6550759,35.084691,"Geocoded",NA,NA,NA
"Office","","4418 Central Av SE","Albuquerque","NM","(M),(*)","Bars/Clubs",1965,NA,-106.5945255,35.078539,"Geocoded",NA,NA,NA
"Okie Joe's ","","1720 Central Av SE","Albuquerque","NM","(M)","Bars/Clubs",1965,NA,-106.6272192,35.0809756,"Geocoded",NA,NA,NA
"Pink Adobe ","","406 College","Santa Fe","NM","(R),(G)","Restaurant",1965,NA,-105.937799,35.6869752,"Geocoded",NA,NA,NA
"Senate","","221 Galisteo","Santa Fe","NM","","Bars/Clubs",1965,NA,-105.9409599,35.6860637,"Geocoded",NA,NA,NA
"'Walking the Block'","around La Fonda Hotel",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1975,NA,-105.938512,35.687428,"Found",NA,NA,NA
"'Walking the Block'","around La Fonda Hotel- also infamous 'john'",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1976,NA,-105.938512,35.687428,"Found",NA,NA,NA
