"ID","title","description","streetaddress","city","state","Year","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
54,"Spur","","13th & Villard","Dickenson","ND",1972,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
57,"Spur","","13th & Villard","Dickenson","ND",1971,"(M)","Bars/Clubs","checked","","2/15/2020 6:24pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
61,"Spur","","13th & Villard","Dickenson","ND",1970,"(M)","Bars/Clubs","checked","","2/15/2020 6:28pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
65,"Spur","","13th & Villard","Dickenson","ND",1969,"(M)","Bars/Clubs","checked","","2/15/2020 6:29pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
68,"Spur","","13th & Villard","Dickenson","ND",1968,"(M)","Bars/Clubs","checked","","2/15/2020 6:30pm","3/28/2020 4:46pm","13th & Villard, ND","-102.805167","46.879138","unclear_coded_by_hand","Found"
10,"Stockman's","","1st & Villard","Dickenson","ND",1979,"(M),(W)","Bars/Clubs","checked","","2/14/2020 5:08pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
17,"Stockman's","","1st & Villard","Dickenson","ND",1978,"(M)","Bars/Clubs","checked","","2/14/2020 5:08pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
27,"Stockman's","","1st & Villard","Dickenson","ND",1977,"(M)","Bars/Clubs","checked","","2/14/2020 5:24pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
33,"Stockman's","","1st & Villard","Dickenson","ND",1976,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
40,"Stockman's","","1st & Villard","Dickenson","ND",1975,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
45,"Stockman's","","1st & Villard","Dickenson","ND",1974,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
50,"Stockman's","","1st & Villard","Dickenson","ND",1973,"(M)","Bars/Clubs","checked","","2/15/2020 6:00pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
55,"Stockman's","","1st & Villard","Dickenson","ND",1972,"(M)","Bars/Clubs","checked","","2/15/2020 6:24pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
58,"Stockman's","","1st & Villard","Dickenson","ND",1971,"(M)","Bars/Clubs","checked","","2/15/2020 6:26pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
62,"Stockman's","","1st & Villard","Dickenson","ND",1970,"(M)","Bars/Clubs","checked","","2/15/2020 6:29pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
66,"Stockman's","","1st & Villard","Dickenson","ND",1969,"(M)","Bars/Clubs","checked","","2/15/2020 6:30pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
69,"Stockman's","","1st & Villard","Dickenson","ND",1968,"(M)","Bars/Clubs","checked","","2/15/2020 6:31pm","3/28/2020 4:46pm","1st & Villard, ND","-102.787036","46.878827","unclear_coded_by_hand","Found"
5,"Torchlight","(Some W, YC) (Inquire locally)","","Fargo","ND",1980,"(M),(YC),(W),(E),(AYOR)","Bars/Clubs","checked","","2/14/2020 5:08pm","3/28/2020 4:47pm",", ND","-96.789803","46.877186","unclear_coded_by_hand","General Coordinates Used"
