"ID","title","streetaddress","description","city","state","amenityfeatures","Year","type","unclear_address","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
46,"MCC","","476-9142 group meets weekly","Mobile","AL","(MCC)",1990,"Religious Organizations","checked",NA,"(205) area code","6/12/2023 1:09pm",", AL",-88.057628,30.684647,"unclear_coded_by_hand","Found"
47,"Old State Park","","(Opp, Holiday Inn- off causeway)","Mobile","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 1:10pm",", AL",-88.039891,30.695366,"unclear_coded_by_hand","General Coordinates Used"
51,"Oak Park","","(Days only)","Montgomery","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 3:25pm",", AL",-86.278857,32.367361,"unclear_coded_by_hand","Found"
50,"Lee St.","","betw. Bus Depots & Church St.","Montgomery","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 3:21pm",", AL",-86.307737,32.379223,"unclear_coded_by_hand","General Coordinates Used"
54,"Gay/Lesbain Support Service","P.O. Box 4595, 35486,","348-8494 taped info","Tuscaloosa","AL","",1990,"Info Lines & Services","checked",NA,"(205) area code","6/12/2023 3:35pm","P.O. Box 4595, 35486,, AL",-87.545433,33.214516,"unclear_coded_by_hand","Found"
55,"Bus Station","","","Tuscaloosa","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 3:33pm",", AL",-87.569173,33.209841,"unclear_coded_by_hand","General Coordinates Used"
53,"Selma Mall-Broad St.","","","Selma","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 3:36pm",", AL",-87.016506,32.43312,"unclear_coded_by_hand","Found"
4,"Autaugaville Rec. Park","","","Autaugaville","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"","6/12/2023 3:37pm",", AL",-86.654702,32.434025,"unclear_coded_by_hand","General Coordinates Used"
52,"Prattville Park","","","Prattville","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 3:37pm",", AL",-86.466914,32.453906,"unclear_coded_by_hand","Found"
56,"AA Gay/Lesbian","","272-2312 call for times and location","Anchorage","AK","",1990,"Info Lines & Services","checked",NA,"(907) area code","6/12/2023 3:39pm",", AK",-149.899678,61.217576,"unclear_coded_by_hand","General Coordinates Used"
65,"Park Strip at 9th & 'L' Sts","","","Anchorage","AK","Cruisy Area",1990,"Cruising Areas","checked",NA,"(907) area code","6/12/2023 3:45pm",", AK",-149.903704,61.213666,"unclear_coded_by_hand","Found"
69,"U. of Alaska,","","Gym","Fairbanks","AK","Cruisy Area",1990,"Cruising Areas","checked",NA,"(907) area code","6/19/2023 4:10pm",", AK",-147.820022,64.856934,"unclear_coded_by_hand","Found"
71,"U. of Alaska,","","Lib.","Fairbanks","AK","Cruisy Area",1990,"Cruising Areas","checked",NA,"(907) area code","6/19/2023 4:10pm",", AK",-147.820022,64.856934,"unclear_coded_by_hand","Found"
70,"U. of Alaska,","","Wood Ctr.","Fairbanks","AK","Cruisy Area",1990,"Cruising Areas","checked",NA,"(907) area code","6/19/2023 4:10pm",", AK",-147.823517,64.857341,"unclear_coded_by_hand","Found"
66,"Gay Info Line","","456-3353 message machine","Fairbanks","AK","",1990,"Info Lines & Services","checked",NA,"(907) area code","6/19/2023 4:07pm",", AK",-147.716389,64.837778,"unclear_coded_by_hand","General Coordinates Used"
68,"Bentley Mall","","","Fairbanks","AK","Cruisy Area",1990,"Cruising Areas","checked",NA,"(907) area code","6/19/2023 4:04pm",", AK",-149.888942,61.216889,"unclear_coded_by_hand","Found"
72,"S.E. Alaska Gay/Lesbian Switchboard","P.O. Box 211371, Auke Bay 99821","586-4297 social group, 7pm-9pm Tue, call for more info","Juneau","AK","",1990,"Info Lines & Services","checked",NA,"(907) area code","6/19/2023 4:14pm","P.O. Box 211371, Auke Bay 99821, AK",-134.658307,58.395068,"unclear_coded_by_hand","General Coordinates Used"
74,"Merchants Wharf","","","Juneau","AK","Cruisy Area",1990,"Cruising Areas","checked",NA,"(907) area code","6/19/2023 4:11pm",", AK",-134.407901,58.299399,"unclear_coded_by_hand","Found"
76,"Rest Stops N. on I-10","","","Casa Grande","AZ","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(602) area code","6/19/2023 8:26pm",", AZ",-111.77339,32.911003,"unclear_coded_by_hand","General Coordinates Used"
78,"Gay Social Group","","meets 3rd Tues at Holiday Inn 7:30","Flagstaff","AZ","",1990,"Info Lines & Services","checked",NA,"(602) area code","6/19/2023 8:28pm",", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used"
82,"GANA Newsletter","P.O. Box 183, 86002","monthly newsletter","Flagstaff","AZ","",1990,"Publications","checked",NA,"(602) area code","6/19/2023 8:27pm","P.O. Box 183, 86002, AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used"
79,"N.A.U. Gay Academic Union","","525-1199 meets 1st & 3rd Thurs, call for location","Flagstaff","AZ","",1990,"Info Lines & Services","checked",NA,"(602) area code","6/19/2023 8:28pm",", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used"
77,"Gay Alliance of Northern Arizona","","525-1199","Flagstaff","AZ","",1990,"Info Lines & Services","checked",NA,"(602) area code","6/19/2023 8:27pm",", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used"
83,"Thorp Park","","Sunset & WE","Flagstaff","AZ","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(602) area code","6/19/2023 8:29pm",", AZ",-111.658355,35.203668,"unclear_coded_by_hand","Found"
87,"Reed & Pioneer Park","","","Mesa","AZ","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(602) area code","6/19/2023 8:33pm",", AZ",-111.819674,33.416972,"unclear_coded_by_hand","Found"
89,"AA Gay/Lesbian","","264-1341 (AA#) Mon 8:30pm, Tue, Thur, Fri, Sat 8pm, Fri 12 midnight, Sun 4, 7pm","Phoenix","AZ","",1990,"Info Lines & Services","checked",NA,"(602) area code","6/19/2023 8:34pm",", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used"
90,"AA Gay/Lesbian","","at Casa de Cristo Evangelical Church, Mon 6pm, Sun 2:30pm","Phoenix","AZ","",1990,"Info Lines & Services","checked",NA,"(602) area code","6/19/2023 8:34pm",", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used"
127,"Phoenix Resource","P.O. Box 5948,85010","256-7476","Phoenix","AZ","",1990,"Publications","checked",NA,"(602) area code","6/19/2023 9:09pm","P.O. Box 5948,85010, AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used"
140,"Thunderbird Park 59th Ave. & Pinnacle Peak Rd.","","","Phoenix","AZ","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(602) area code","6/19/2023 9:23pm",", AZ",-112.177926,33.69761,"unclear_coded_by_hand","Found"
123,"Dignity/Integrity","","258-2556 Mass 1st & 3rd Sun","Phoenix","AZ","",1990,"Religious Organizations","checked",NA,"(602) area code","6/19/2023 8:50pm",", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used"
