"ID2","title","description","streetaddress","type","amenityfeatures","city","state","Year","unclear_address","unclear.type.or.question","notes","Last.Modified","full.address","lon","lat","geoAddress"
83,"Evergreen Cafe (Disco)","","39 Webster St.","Bars/Clubs","(*),(L),(D)","Hartford","CT",1981,NA,"","","3/17/2022 3:10pm","39 Webster St., Hartford, CT",-72.6833833,41.7444478,"39 webster st, hartford, ct 06114, usa"
85,"Nick's Cafe House","(Some M, OC)","1943 Broad","Bars/Clubs","(D),(M),(OC)","Hartford","CT",1981,NA,"","","3/17/2022 3:10pm","1943 Broad, Hartford, CT",-72.6875938,41.7392804,"1943 broad st, hartford, ct 06114, usa"
87,"Sisson Ave. Book Store","","257 Sisson Ave.","Book Store","","Hartford","CT",1981,NA,"","","3/17/2022 3:10pm","257 Sisson Ave., Hartford, CT",-72.7075224,41.7660945,"257 sisson ave, hartford, ct 06105, usa"
88,"Warehouse","(Disco)(Some YC, W, SM, B)(Adm.) at Capitol","61 Woodbine","Bars/Clubs","(YC),(*),(D),(W),(SM),(B)","Hartford","CT",1981,NA,"","","3/17/2022 3:10pm","61 Woodbine, Hartford, CT",-72.9556227,41.6674153,"61 woodbine st, bristol, ct 06010, usa"
95,"Howard Johnson's","Long Wharf","400 Sargent Dr.","Restaurant","(M),(R),(C),(AH),(WE)","New Haven","CT",1981,NA,"","","3/17/2022 3:10pm","400 Sargent Dr., New Haven, CT",-72.9201125,41.294514,"400 sargent dr, new haven, ct 06511, usa"
96,"M.C.C.","(2nd floor)","425 College St.","Religious Institution","MCC","New Haven","CT",1981,NA,"","","3/17/2022 3:10pm","425 College St., New Haven, CT",-72.9265643,41.3096282,"425 college st, new haven, ct 06511, usa"
97,"Olympus Books","('wild backroom')","166 York St.","Book Store","(*)","New Haven","CT",1981,NA,"","","3/17/2022 3:10pm","166 York St., New Haven, CT",-72.9321753,41.3080861,"166 york st, new haven, ct 06511, usa"
98,"Parkway","","1574 Chapel St.","Bars/Clubs","(RT),(M)","New Haven","CT",1981,NA,"","","3/17/2022 3:10pm","1574 Chapel St., New Haven, CT",-72.9490555,41.3120663,"1574 chapel st, new haven, ct 06511, usa"
99,"Partners","(Super bar - cruisy main floor)(Disco)(D upstairs & L - D in basement) (Game rooms)","365 Crown St.","Bars/Clubs,Cruising Areas","(*),(YC),(L),(D)","New Haven","CT",1981,NA,"","","3/21/2022 7:32am","365 Crown St., New Haven, CT",-72.9340374,41.30801,"365 crown st, new haven, ct 06511, usa"
100,"Pub Cafe","(Some W)(Cruisy patio late Sun. afternoons)","168 York St.","Restaurant,Cruising Areas","(R),(W),(*)","New Haven","CT",1981,NA,"","","3/17/2022 3:10pm","168 York St., New Haven, CT",-72.932154,41.308158,"168 york st, new haven, ct 06511, usa"
104,"Frank's Place","(R - Thurs & Fri only) at Bank","9 Tilley St.","Restaurant","(OC),(R)","New London","CT",1981,NA,"","","3/17/2022 3:10pm","9 Tilley St., New London, CT",-72.0972273,41.3517465,"9 tilley st, new london, ct 06320, usa"
