"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","5710 Germantown ","Philadelphia","PA","","Bars/Clubs",1969,NA,"5710 Germantown , Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown ","Philadelphia","PA","","Bars/Clubs",1970,NA,"5710 Germantown , Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown","Philadelphia","PA","","Bars/Clubs",1971,NA,"5710 Germantown, Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown ","Philadelphia","PA","","Bars/Clubs",1972,NA,"5710 Germantown , Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown","Philadelphia","PA","","Bars/Clubs",1973,NA,"5710 Germantown, Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5710 Germantown","Philadelphia","PA","","Bars/Clubs",1975,NA,"5710 Germantown, Philadelphia, PA",-75.175433,40.036025,"5710 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","5708 Germantown Ave. ","Philadelphia","PA","(B)","Bars/Clubs",1979,NA,"5708 Germantown Ave. , Philadelphia, PA",-75.1754003,40.0359686,"5708 germantown ave, philadelphia, pa 19144, usa","Geocoded",NA,NA
"","301 S. Quince St. ","Philadelphia","PA","","Bars/Clubs",1979,NA,"301 S. Quince St. , Philadelphia, PA",-75.1601647,39.9460658,"301 quince st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","1116 Walnut ","Philadelphia","PA","(M)","Bars/Clubs",1973,NA,"1116 Walnut , Philadelphia, PA",-75.1598508,39.9485658,"1116 walnut st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(Looks promising)","1116 Spruce ","Philadelphia","PA","","Bars/Clubs",1979,NA,"1116 Spruce , Philadelphia, PA",-75.1602685,39.9464189,"1116 spruce st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"('drags')(above Nick's Roast Beef) ","1330 Walnut","Philadelphia","PA","(S),(RT)","Bars/Clubs",1977,NA,"1330 Walnut, Philadelphia, PA",-75.1633947,39.9491522,"1330 walnut st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"('Drags')(Above Nick's Roast Beef) ","1330 Walnut St. ","Philadelphia","PA","(S),(RT)","Bars/Clubs",1978,NA,"1330 Walnut St. , Philadelphia, PA",-75.1633947,39.9491522,"1330 walnut st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","6400 Market ","Philadelphia","PA","(D)","Bars/Clubs",1973,NA,"6400 Market , Philadelphia, PA",-75.2497628,39.9627185,"6400 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"","6400 Market ","Philadelphia","PA","(D),(*)","Bars/Clubs",1974,NA,"6400 Market , Philadelphia, PA",-75.2497628,39.9627185,"6400 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"","6400 Market ","Philadelphia","PA","(D),(*)","Bars/Clubs",1975,NA,"6400 Market , Philadelphia, PA",-75.2497628,39.9627185,"6400 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"","6400 Market ","Philadelphia","PA","(YC),(D),(*)","Bars/Clubs",1976,NA,"6400 Market , Philadelphia, PA",-75.2497628,39.9627185,"6400 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"","6400 Market ","Philadelphia","PA","(YC),(D),(*)","Bars/Clubs",1977,NA,"6400 Market , Philadelphia, PA",-75.2497628,39.9627185,"6400 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"","6400 Market","Philadelphia","PA","(D)","Bars/Clubs",1978,NA,"6400 Market, Philadelphia, PA",-75.2497628,39.9627185,"6400 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"(Upper Darby) ","6405 Market St. ","Philadelphia","PA","","Bars/Clubs",1979,NA,"6405 Market St. , Philadelphia, PA",-75.2498686,39.9634393,"6405 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"(Upper Darby)","6405 Market St. ","Philadelphia","PA","","Bars/Clubs",1980,NA,"6405 Market St. , Philadelphia, PA",-75.2498686,39.9634393,"6405 market st, upper darby, pa 19082, usa","Geocoded",NA,NA
"(adjoins D.C.A. Club)","206 S. Camac","Philadelphia","PA","(P),(*),(SM)","Bars/Clubs",1977,NA,"206 S. Camac, Philadelphia, PA",-75.1615679,39.9482894,"206 s camac st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(Some W, SM)(Adjoins D.C.A. Club)","206 So. Camac","Philadelphia","PA","(P),(W),(SM)","Bars/Clubs",1978,NA,"206 So. Camac, Philadelphia, PA",-75.1615679,39.9482894,"206 s camac st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(Adj. D.C.A. Club)","206 S. Camac ","Philadelphia","PA","(*),(P),(SM),(W),(FFA)","Bars/Clubs",1979,NA,"206 S. Camac , Philadelphia, PA",-75.1615679,39.9482894,"206 s camac st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"(Adj. D.C.A. Club)","206 S. Camac","Philadelphia","PA","(P),(SM),(W),(FFA),(*)","Bars/Clubs",1980,NA,"206 S. Camac, Philadelphia, PA",-75.1615679,39.9482894,"206 s camac st, philadelphia, pa 19107, usa","Geocoded",NA,NA
"","4728 Chestnut St. ","Philadelphia","PA","(B)","Bars/Clubs",1979,NA,"4728 Chestnut St. , Philadelphia, PA",-75.216748,39.957168,"4728 chestnut st, philadelphia, pa 19139, usa","Geocoded",NA,NA
"","4728 Chestnut St. ","Philadelphia","PA","(B)","Bars/Clubs",1980,NA,"4728 Chestnut St. , Philadelphia, PA",-75.216748,39.957168,"4728 chestnut st, philadelphia, pa 19139, usa","Geocoded",NA,NA
"(Some B, 'drags')","214 S. 13th St. ","Philadelphia","PA","(M),(RT)","Bars/Clubs",1977,NA,"214 S. 13th St. , Philadelphia, PA",-75.1623653,39.9479268,"214 s 13th st, philadelphia, pa 19107, usa","Geocoded",NA,NA
