"ID","Title","description","streetaddress","state","amenityfeatures","Type","city","unclearaddress","Year","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
275,"Walgreen's","Stone & Congress","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1977,"","","4/20/2020 10:23pm","4/20/2020 11:30pm",", AZ","-110.971264","32.221874","unclear_coded_by_hand","Found"
146,"Walgreen's","Stone & Congress","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1979,"","","4/20/2020 9:17pm","4/20/2020 9:39pm",", AZ","-110.971264","32.221874","unclear_coded_by_hand","Found"
69,"Walgreen's","Stone & Congress","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1980,"","","4/20/2020 12:47am","4/20/2020 9:00pm",", AZ","-110.971264","32.221874","unclear_coded_by_hand","Found"
221,"Walgren's","Stone & Congress","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1978,"","Misspelled in entry in book, Walgreens","4/20/2020 10:23pm","4/20/2020 11:30pm",", AZ","-110.971264","32.221874","unclear_coded_by_hand","Found"
109,"Woman's Place","(Books, etc.)","32nd & Oak","AZ","","Book Store","Phoenix","checked",1979,"","","4/20/2020 9:17pm","4/20/2020 9:39pm","32nd & Oak, AZ","-112.012932","33.473114","unclear_coded_by_hand","Found"
33,"Woman's Place","(Books, etc.)","32nd & Oak","AZ","","Book Store","Phoenix","checked",1980,"","","4/20/2020 12:47am","4/20/2020 9:00pm","32nd & Oak, AZ","-112.012932","33.473114","unclear_coded_by_hand","Found"
327,"Yuma Downtown Mall","","","AZ","Cruisy Area","Cruising Areas","Yuma","checked",1976,"","","4/20/2020 10:24pm","4/21/2020 12:00am",", AZ","-114.627692","32.692651","unclear_coded_by_hand","General Coordinates Used"
282,"Yuma Downtown Mall","","","AZ","Cruisy Area","Cruising Areas","Yuma","checked",1977,"","","4/20/2020 10:23pm","4/20/2020 11:30pm",", AZ","-114.627692","32.692651","unclear_coded_by_hand","General Coordinates Used"
228,"Yuma Downtown Mall","","","AZ","Cruisy Area","Cruising Areas","Yuma","checked",1978,"","","4/20/2020 10:23pm","4/20/2020 10:50pm",", AZ","-114.627692","32.692651","unclear_coded_by_hand","General Coordinates Used"
154,"Yuma Downtown Mall","","","AZ","Cruisy Area","Cruising Areas","Yuma","checked",1979,"","","4/20/2020 9:18pm","4/20/2020 9:38pm",", AZ","-114.627692","32.692651","unclear_coded_by_hand","General Coordinates Used"
78,"Yuma Downtown Mall","","","AZ","Cruisy Area","Cruising Areas","Yuma","checked",1980,"","","4/20/2020 12:47am","4/20/2020 9:00pm",", AZ","-114.627692","32.692651","unclear_coded_by_hand","General Coordinates Used"
