"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"","901 S. Memorial Dr.","Racine","","Bars/Clubs",1974,"","901 S. Memorial Dr., Racine, ",-87.798715,42.7225071,"901 s memorial dr, racine, wi 53403, usa","Geocoded",NA,NA,NA
"","1812 Broadway","Superior","(M)","Bars/Clubs",1974,"","1812 Broadway, Superior, ",-92.1040796,46.7207737,"superior, wi, usa","Geocoded",NA,NA,NA
"","1809 N. 3rd St.","Superior","(M),(RT)","Bars/Clubs",1974,"","1809 N. 3rd St., Superior, ",-92.1042983,46.7354173,"1809 n 3rd st, superior, wi 54880, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1973,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1973,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","314 N. Adams","Green Bay","(M)","Bars/Clubs",1973,"","314 N. Adams, Green Bay, ",-88.0129162,44.515855,"314 n adams st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","1031 W. Main","Green Bay","","Bars/Clubs",1973,"","1031 W. Main, Green Bay, ",-88.0132958,44.5133188,"green bay, wi, usa","Geocoded",NA,NA,NA
"","3504 60th St.","Kenosha","","Baths",1973,"","3504 60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"(This popular spot was destroyed by fire. At present it is uncertain whether or not it will re-open)","10936 Sheridan Rd.","Kenosha","","Bars/Clubs",1973,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"","529 N. Lake","Madison","(M),(YC)","Bars/Clubs",1973,"","529 N. Lake, Madison, ",-89.3970644,43.0756224,"529 n lake st, madison, wi 53703, usa","Geocoded",NA,NA,NA
" (not till after cocktail hour)","116 N. Fairchild","Madison","(*)","Bars/Clubs",1973,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","3743 W. Vliet","Milwaukee","","Bars/Clubs",1973,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D)","Bars/Clubs",1973,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(closes 10 pm)","707 E. Knapp","Milwaukee","(*)","Baths",1973,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1187 N. 68th St.","Milwaukee","(M)","Bars/Clubs",1973,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"(after hours) (Opens 10 pm-closed Monday)","173 S. 2nd St ","Milwaukee","(R),(C),(*)","Restaurant",1973,"","173 S. 2nd St , Milwaukee, ",-87.912989,43.030158,"173 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","1801 N. 12th St.","Milwaukee","(B)","Bars/Clubs",1973,"","1801 N. 12th St., Milwaukee, ",-87.927338,43.054146,"1801 n 12th st, milwaukee, wi 53205, usa","Geocoded",NA,NA,NA
"","2024 W. Highland Ave","Milwaukee","M.C.C.","Church",1973,"","2024 W. Highland Ave, Milwaukee, ",-87.938643,43.04469,"2024 w highland ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"","157 S. 1st St.","Milwaukee","(D),(*)","Bars/Clubs",1973,"","157 S. 1st St., Milwaukee, ",-87.9113572,43.0297315,"157 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","(RT)","Bars/Clubs",1973,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Closed Mondays)","183 S. 2nd St.","Milwaukee","(G),(D),(*)","Bars/Clubs",1973,"","183 S. 2nd St., Milwaukee, ",-87.912992,43.029908,"183 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","402 N. Water St.","Milwaukee","(YC),(D),(*)","Bars/Clubs",1973,"","402 N. Water St., Milwaukee, ",-87.9080788,43.0352342,"402 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","181 S. 2nd St.","Milwaukee","(D)","Bars/Clubs",1973,"","181 S. 2nd St., Milwaukee, ",-87.9128037,43.0299569,"181 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","744 N. Jefferson","Milwaukee","(R),(C)","Restaurant,Hotels",1973,"","744 N. Jefferson, Milwaukee, ",-87.9050582,43.0399916,"744 n jefferson st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(D),(YC),(*)","Bars/Clubs",1973,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","(D),(*)","Bars/Clubs",1973,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","(M)","Hotels,Bars/Clubs",1973,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"(Some G) ","2139 Racine","Racine","(D),(*),(G)","Bars/Clubs",1973,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"","1812 Broadway","Superior","(M)","Bars/Clubs",1973,"","1812 Broadway, Superior, ",-92.1040796,46.7207737,"superior, wi, usa","Geocoded",NA,NA,NA
"(Bitchy bar maid (?)-May not serve strangers)","1809 N. 3rd St.","Superior","(M),(RT)","Bars/Clubs",1973,"","1809 N. 3rd St., Superior, ",-92.1042983,46.7354173,"1809 n 3rd st, superior, wi 54880, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1972,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","15 W. Division","Fond Du Lac","(*)","Bars/Clubs",1972,"","15 W. Division, Fond Du Lac, ",-88.4476943,43.7791061,"15 w division st, fond du lac, wi 54935, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1972,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","314 N. Adams","Green Bay","(M)","Bars/Clubs",1972,"","314 N. Adams, Green Bay, ",-88.0129162,44.515855,"314 n adams st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","3504 60th St.","Kenosha","","Baths",1972,"","3504 60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1972,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"","116 N. Fairchild","Madison","(*),(YC)","Bars/Clubs",1972,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","602 University Ave.","Madison","(M),(RT)","Bars/Clubs",1972,"","602 University Ave., Madison, ",-89.3959202,43.0733802,"602 university ave, madison, wi 53715, usa","Geocoded",NA,NA,NA
"","302 E. Wilson","Madison","(M)","Bars/Clubs",1972,"","302 E. Wilson, Madison, ",-89.3784358,43.0749191,"302 e wilson st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(top floors)","616 N. 2nd St.","Milwaukee","(H)","Hotels",1972,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(YC),(*)","Bars/Clubs",1972,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(closes 10 pm)","707 E. Knapp","Milwaukee","(*)","Baths",1972,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(On again-off again-but ok on last visit)","144 E. Juneau St.","Milwaukee","","Bars/Clubs",1972,"","144 E. Juneau St., Milwaukee, ",-87.9117021,43.0459699,"144 e juneau ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1187 N. 68th St.","Milwaukee","","Bars/Clubs",1972,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","","Bars/Clubs",1972,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","605 N. 5th St.","Milwaukee","(M)","Bars/Clubs",1972,"","605 N. 5th St., Milwaukee, ",-87.9180072,43.0374827,"605 n 5th st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Closed Mondays)","183 S. 2nd St.","Milwaukee","(G),(D),(*)","Bars/Clubs",1972,"","183 S. 2nd St., Milwaukee, ",-87.912992,43.029908,"183 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","181 S. 2nd St.","Milwaukee","(D)","Bars/Clubs",1972,"","181 S. 2nd St., Milwaukee, ",-87.9128037,43.0299569,"181 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","744 N. Jefferson","Milwaukee","(R),(C)","Restaurant,Hotels",1972,"","744 N. Jefferson, Milwaukee, ",-87.9050582,43.0399916,"744 n jefferson st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(D),(YC),(*)","Bars/Clubs",1972,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","(D),(*)","Bars/Clubs",1972,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","(M)","Hotels,Bars/Clubs",1972,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"","2139 Racine","Racine","","Bars/Clubs",1972,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1971,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","15 W. Division","Fond Du Lac","(*)","Bars/Clubs",1971,"","15 W. Division, Fond Du Lac, ",-88.4476943,43.7791061,"15 w division st, fond du lac, wi 54935, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1971,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","314 N. Adams","Green Bay","(M)","Bars/Clubs",1971,"","314 N. Adams, Green Bay, ",-88.0129162,44.515855,"314 n adams st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","3504 60th St.","Kenosha","","Baths",1971,"","3504 60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1971,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"","110 N. Hamilton","Madison","(YC),(M)","Bars/Clubs",1971,"","110 N. Hamilton, Madison, ",-89.3844204,43.0770078,"110 n hamilton st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","714 State St.","Madison","(YC),(M)","Bars/Clubs",1971,"","714 State St., Madison, ",-89.3981855,43.0748931,"714 state st, madison, wi 53706, usa","Geocoded",NA,NA,NA
"","763 Univeristy","Madison","(M)","Bars/Clubs",1971,"","763 Univeristy, Madison, ",-89.4124875,43.076592,"madison, wi, usa","Geocoded",NA,NA,NA
"","317 W. Gorham","Madison","(YC),(M),(*)","Bars/Clubs",1971,"","317 W. Gorham, Madison, ",-89.391954,43.074227,"317 w gorham st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","616 N. 2nd St.","Milwaukee","(H),(*)","Hotels",1971,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","751 N. 4th St.","Milwaukee","(M)","Business,Hotels",1971,"","751 N. 4th St., Milwaukee, ",-87.9160052,43.0397957,"751 vel r. phillips ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","435 W. Michigan","Milwaukee","(M)","Hotels",1971,"","435 W. Michigan, Milwaukee, ",-87.9168771,43.0370079,"435 w michigan st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(YC),(*)","Bars/Clubs",1971,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(closes 10 pm)","707 E. Knapp","Milwaukee","(*)","Baths",1971,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1438 W. Arthur Ave.","Milwaukee","","Bars/Clubs",1971,"","1438 W. Arthur Ave., Milwaukee, ",-87.9310519,42.999488,"1438 w arthur ave, milwaukee, wi 53215, usa","Geocoded",NA,NA,NA
"(G.P.)","144 E. Juneau St.","Milwaukee","(*),(G),(P)","Bars/Clubs",1971,"","144 E. Juneau St., Milwaukee, ",-87.9117021,43.0459699,"144 e juneau ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1187 N. 68th St.","Milwaukee","","Bars/Clubs",1971,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"(after hours)","603 N. 5th St.","Milwaukee","(YC),(C)","Business",1971,"","603 N. 5th St., Milwaukee, ",-87.9175071,43.0374516,"603 n 5th st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Angelo's)","422 W. State St.","Milwaukee","","Bars/Clubs",1971,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","183 S. 2nd St.","Milwaukee","(G),(D),(*)","Bars/Clubs",1971,"","183 S. 2nd St., Milwaukee, ",-87.912992,43.029908,"183 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","181 S. 2nd St.","Milwaukee","","Bars/Clubs",1971,"","181 S. 2nd St., Milwaukee, ",-87.9128037,43.0299569,"181 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","744 N. Jefferson","Milwaukee","(R),(C)","Restaurant,Hotels",1971,"","744 N. Jefferson, Milwaukee, ",-87.9050582,43.0399916,"744 n jefferson st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(PE),(*)","Bars/Clubs",1971,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","","Bars/Clubs",1971,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","(M)","Hotels,Bars/Clubs",1971,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1970,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","15 W. Division","Fond Du Lac","(*)","Bars/Clubs",1970,"","15 W. Division, Fond Du Lac, ",-88.4476943,43.7791061,"15 w division st, fond du lac, wi 54935, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1970,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","314 N. Adams","Green Bay","(M)","Bars/Clubs",1970,"","314 N. Adams, Green Bay, ",-88.0129162,44.515855,"314 n adams st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","110 N. Hamilton","Madison","(YC),(M)","Bars/Clubs",1970,"","110 N. Hamilton, Madison, ",-89.3844204,43.0770078,"110 n hamilton st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","714 State St.","Madison","(YC),(M)","Bars/Clubs",1970,"","714 State St., Madison, ",-89.3981855,43.0748931,"714 state st, madison, wi 53706, usa","Geocoded",NA,NA,NA
"","763 Univeristy","Madison","(M)","Bars/Clubs",1970,"","763 Univeristy, Madison, ",-89.4124875,43.076592,"madison, wi, usa","Geocoded",NA,NA,NA
"","317 W. Gorham","Madison","(YC),(M),(*)","Bars/Clubs",1970,"","317 W. Gorham, Madison, ",-89.391954,43.074227,"317 w gorham st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(downstairs by Greyhound bus depot) ","644 N. 7th St.","Milwaukee","(M)","Bars/Clubs",1970,"","644 N. 7th St., Milwaukee, ",-87.9202565,43.0434792,"644 n 7th st, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"","616 N. 2nd St.","Milwaukee","(H),(*)","Hotels",1970,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","751 N. 4th St.","Milwaukee","(M)","Business,Hotels",1970,"","751 N. 4th St., Milwaukee, ",-87.9160052,43.0397957,"751 vel r. phillips ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(YC),(*)","Bars/Clubs",1970,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(YC),(D),(*)","Bars/Clubs",1970,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(G.P.)","144 E. Juneau St.","Milwaukee","(*),(G),(P)","Bars/Clubs",1970,"","144 E. Juneau St., Milwaukee, ",-87.9117021,43.0459699,"144 e juneau ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(after hours)","603 N. 5th St.","Milwaukee","(YC),(C)","Business",1970,"","603 N. 5th St., Milwaukee, ",-87.9175071,43.0374516,"603 n 5th st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Angelo's)","422 W. State St.","Milwaukee","","Bars/Clubs",1970,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","183 S. 2nd St.","Milwaukee","(G),(D),(*)","Bars/Clubs",1970,"","183 S. 2nd St., Milwaukee, ",-87.912992,43.029908,"183 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(cocktail hour)","2690 S. 9th St.","Milwaukee","(R),(PE)","Restaurant",1970,"","2690 S. 9th St., Milwaukee, ",-87.9223148,42.9957044,"2690 s 9th st, milwaukee, wi 53215, usa","Geocoded",NA,NA,NA
"","1962 N. Prospect","Milwaukee","(R),(PE)","Bars/Clubs",1970,"","1962 N. Prospect, Milwaukee, ",-87.8876287,43.0556523,"1962 n prospect ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1758 N. Water St.","Milwaukee","(YC),(*)","Bars/Clubs",1970,"","1758 N. Water St., Milwaukee, ",-87.9028499,43.0538468,"1758 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","435 W. Michigan","Milwaukee","(M)","Bars/Clubs,Hotels",1970,"","435 W. Michigan, Milwaukee, ",-87.9168771,43.0370079,"435 w michigan st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","744 N. Jefferson","Milwaukee","(C)","Restaurant",1970,"","744 N. Jefferson, Milwaukee, ",-87.9050582,43.0399916,"744 n jefferson st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(PE)","Bars/Clubs",1970,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","(*)","Bars/Clubs",1970,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","(M)","Hotels,Bars/Clubs",1970,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"","128 N. Oneida","Appleton","(M)","Bars/Clubs,Hotels",1969,"","128 N. Oneida, Appleton, ",-88.4056847,44.2632354,"128 n oneida st, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"","15 W. Division","Fond Du Lac","(*)","Bars/Clubs",1969,"","15 W. Division, Fond Du Lac, ",-88.4476943,43.7791061,"15 w division st, fond du lac, wi 54935, usa","Geocoded",NA,NA,NA
"","1101 W. Main","Green Bay","(*)","Bars/Clubs",1969,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"","314 N. Adams","Green Bay","(M)","Bars/Clubs",1969,"","314 N. Adams, Green Bay, ",-88.0129162,44.515855,"314 n adams st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","714 State St.","Madison","(YC),(M)","Bars/Clubs",1969,"","714 State St., Madison, ",-89.3981855,43.0748931,"714 state st, madison, wi 53706, usa","Geocoded",NA,NA,NA
"","763 Univeristy","Madison","(M)","Bars/Clubs",1969,"","763 Univeristy, Madison, ",-89.4124875,43.076592,"madison, wi, usa","Geocoded",NA,NA,NA
"","317 W. Gorham","Madison","(YC),(*)","Bars/Clubs",1969,"","317 W. Gorham, Madison, ",-89.391954,43.074227,"317 w gorham st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","616 N. 2nd St.","Milwaukee","(H)","Hotels",1969,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","751 N. 4th St.","Milwaukee","(M),(C)","Business,Hotels",1969,"","751 N. 4th St., Milwaukee, ",-87.9160052,43.0397957,"751 vel r. phillips ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(G)","Bars/Clubs",1969,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","","Bars/Clubs",1969,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","144 E. Juneau St.","Milwaukee","(*)","Bars/Clubs",1969,"","144 E. Juneau St., Milwaukee, ",-87.9117021,43.0459699,"144 e juneau ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","603 N. 5th St.","Milwaukee","(C),(M)","Business",1969,"","603 N. 5th St., Milwaukee, ",-87.9175071,43.0374516,"603 n 5th st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","","Bars/Clubs",1969,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","501 S 5th St","Milwaukee","(*)","Bars/Clubs",1969,"","501 S 5th St, Milwaukee, ",-87.9168357,43.0263245,"501 s 5th st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","1758 N. Water St.","Milwaukee","(YC),(*)","Bars/Clubs",1969,"","1758 N. Water St., Milwaukee, ",-87.9028499,43.0538468,"1758 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","435 W. Michigan","Milwaukee","","Bars/Clubs,Hotels",1969,"","435 W. Michigan, Milwaukee, ",-87.9168771,43.0370079,"435 w michigan st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","744 N. Jefferson","Milwaukee","(C)","Restaurant",1969,"","744 N. Jefferson, Milwaukee, ",-87.9050582,43.0399916,"744 n jefferson st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(PE)","Bars/Clubs",1969,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","","Bars/Clubs",1969,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","530 N. Main St.","Oshkosh","(M)","Hotels,Bars/Clubs",1969,"","530 N. Main St., Oshkosh, ",-88.5373899,44.0204642,"530 n main st, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"","314 N. Adams","Green Bay","(M)","Bars/Clubs",1968,"","314 N. Adams, Green Bay, ",-88.0129162,44.515855,"314 n adams st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"(collegiate)","714 State St.","Madison","(M)","Bars/Clubs",1968,"","714 State St., Madison, ",-89.3981855,43.0748931,"714 state st, madison, wi 53706, usa","Geocoded",NA,NA,NA
"","763 Univeristy","Madison","(M)","Bars/Clubs",1968,"","763 Univeristy, Madison, ",-89.4124875,43.076592,"madison, wi, usa","Geocoded",NA,NA,NA
"","616 N. 2nd St.","Milwaukee","(H)","Hotels",1968,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","751 N. 4th St.","Milwaukee","(C)","Business,Hotels",1968,"","751 N. 4th St., Milwaukee, ",-87.9160052,43.0397957,"751 vel r. phillips ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","400 S 2nd","Milwaukee","","Bars/Clubs",1968,"","400 S 2nd, Milwaukee, ",-87.9121523,43.0269863,"400 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
