"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Tudor Cafe","","361 Pine St.","Manchester","NH","(*)","Restaurant",1976,NA,"361 Pine St., Manchester, NH",-71.4592863,42.9906413,"361 pine st, manchester, nh 03103, usa","Geocoded",NA
"Tudor Cafe","","361 Pine St.","Manchester","NH","(*)","Bars/Clubs",1977,NA,"361 Pine St., Manchester, NH",-71.4592863,42.9906413,"361 pine st, manchester, nh 03103, usa","Geocoded",NA
"Tudor Cafe","","361 Pine St.","Manchester","NH","(*)","Bars/Clubs",1978,NA,"361 Pine St., Manchester, NH",-71.4592863,42.9906413,"361 pine st, manchester, nh 03103, usa","Geocoded",NA
"Tudor Cafe","","361 Pine St.","Manchester","NH","(*)","Restaurant",1979,NA,"361 Pine St., Manchester, NH",-71.4592863,42.9906413,"361 pine st, manchester, nh 03103, usa","Geocoded",NA
"Yvette's","","657 Chestnut","Manchester","NH","","Bars/Clubs",1968,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa","Geocoded",NA
"Yvette's","","657 Chestnut","Manchester","NH","","Bars/Clubs",1969,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa","Geocoded",NA
"Yvette's","","657 Chestnut","Manchester","NH","","Bars/Clubs",1970,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa","Geocoded",NA
"Yvette's","","657 Chestnut","Manchester","NH","","Bars/Clubs",1971,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa","Geocoded",NA
"Yvette's","","657 Chestnut","Manchester","NH","(M),(RT),(*)","Bars/Clubs",1972,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa","Geocoded",NA
"Yvette's","","657 Chestnut","Manchester","NH","(M),(RT),(*)","Bars/Clubs",1973,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa","Geocoded",NA
"'Rest Stop' on I-81","","","Charlestown","NH","Cruisy Areas","Crusing Areas",1980,NA,", NH",-72.424512,43.238628,"unclear_coded_by_hand","General Coordinates Used",NA
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1977,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,"unclear_coded_by_hand","General Coordinates Used",NA
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1978,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,"unclear_coded_by_hand","General Coordinates Used",NA
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1979,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,"unclear_coded_by_hand","General Coordinates Used",NA
"Arabian Lounge","","Exit 21 off I-89","West Lebanon","NH","(M),(R)","Bars/Clubs",1980,NA,"Exit 21 off I-89, NH",-72.310606,43.644651,"unclear_coded_by_hand","General Coordinates Used",NA
"Athletic Room","","Merrimack St.","Manchester","NH","(P),(D),(E)","Bars/Clubs",1976,NA,"Merrimack St., NH",-71.454789,42.99564,"unclear_coded_by_hand","General Coordinates Used",NA
"Block around Carpenter Hotel","","","Manchester","NH","Cruisy Areas","Crusing Areas",1980,NA,", NH",-71.464216,42.989677,"unclear_coded_by_hand","Found",NA
"Brick Yard Mtn. Inn Rte 3 - Weiss Beach","","","Laconia","NH","","Bars/Clubs",1980,NA,", NH",-71.470351,43.527855,"unclear_coded_by_hand","General Coordinates Used",NA
"Cafe Muse & Capt. Quig's Bar","","Main St.","North Conway","NH","(M)","Bars/Clubs",1980,NA,"Main St., NH",-71.128404,44.053681,"unclear_coded_by_hand","General Coordinates Used",NA
