"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","8 W Main St","Danville","IL","(M),(PE)","Bars/Clubs",1968,NA,"8 W Main St, Danville, IL",-87.6304948,40.1241655,"8 w main st, danville, il 61832, usa","Geocoded",NA,NA
"","1133 N 9th St","East St Louis","IL","(*)","Bars/Clubs",1968,NA,"1133 N 9th St, East St Louis, IL",-90.1386782,38.6345064,"1133 n 9th st, east st louis, il 62201, usa","Geocoded",NA,NA
"","721 St Louis Av","East St Louis","IL","(*)","Bars/Clubs",1968,NA,"721 St Louis Av, East St Louis, IL",-90.1542773,38.6255057,"721 st louis ave, east st louis, il 62201, usa","Geocoded",NA,NA
"","205 N 5th St","East St Louis","IL","","Bars/Clubs",1968,NA,"205 N 5th St, East St Louis, IL",-90.1549606,38.628263,"205 n 5th st, east st louis, il 62201, usa","Geocoded",NA,NA
"(back end of bar)","211 N Chicago","Joliet","IL","(M)","Bars/Clubs",1968,NA,"211 N Chicago, Joliet, IL",-88.0818235,41.5280739,"211 n chicago st, joliet, il 60432, usa","Geocoded",NA,NA
"","557 E Jackson","Joliet","IL","(S)","Bars/Clubs",1968,NA,"557 E Jackson, Joliet, IL",-88.068109,41.531939,"557 e jackson st, joliet, il 60432, usa","Geocoded",NA,NA
"","205 E Broadway","Monmouth","IL","(*)","Bars/Clubs",1968,NA,"205 E Broadway, Monmouth, IL",-90.6467413,40.9117404,"205 e broadway, monmouth, il 61462, usa","Geocoded",NA,NA
"","117 1st St","Monmouth","IL","(M),(RT)","Bars/Clubs",1968,NA,"117 1st St, Monmouth, IL",-90.6467302,40.9113995,"117 s 1st st, monmouth, il 61462, usa","Geocoded",NA,NA
"","215 Main St","Peoria","IL","(M),(RT)","Bars/Clubs",1968,NA,"215 Main St, Peoria, IL",-89.5891349,40.691257,"215 main st, peoria, il 61602, usa","Geocoded",NA,NA
"","631 W Main St","Peoria","IL","(*)","Bars/Clubs",1968,NA,"631 W Main St, Peoria, IL",-89.6034941,40.6998488,"631 w main st, peoria, il 61606, usa","Geocoded",NA,NA
"","513 State St E","Rockford","IL","(M)","Bars/Clubs",1968,NA,"513 State St E, Rockford, IL",-89.0871622,42.2672727,"513 e state st, rockford, il 61104, usa","Geocoded",NA,NA
"","18th St","Rock Island","IL","(M)","Bars/Clubs",1968,NA,"18th St, Rock Island, IL",-90.5746602,41.5082861,"18th st, rock island, il 61201, usa","Geocoded",NA,NA
"","1601 2nd Av","Rock Island","IL","(M)","Bars/Clubs",1968,NA,"1601 2nd Av, Rock Island, IL",-90.5776228,41.5108128,"1601 2nd ave, rock island, il 61201, usa","Geocoded",NA,NA
"","212 N 5th St","Springfield","IL","","Bars/Clubs",1968,NA,"212 N 5th St, Springfield, IL",-89.6485431,39.8032587,"212 n 5th st, springfield, il 62701, usa","Geocoded",NA,NA
"","N 5th St ","Springfield","IL","(*)","Bars/Clubs",1968,NA,"N 5th St , Springfield, IL",-89.649305,39.8214193,"n 5th st, springfield, il, usa","Geocoded",NA,NA
"","309 E Monroe","Springfield","IL","(M)","Bars/Clubs",1968,NA,"309 E Monroe, Springfield, IL",-89.6514364,39.7997578,"309 e monroe st, springfield, il 62701, usa","Geocoded",NA,NA
"","606 State Line Ave","Calumet City","IL","(*)","Bars/Clubs",1969,NA,"606 State Line Ave, Calumet City, IL",-87.5254537,41.6181672,"606 state line ave, calumet city, il 60409, usa","Geocoded",NA,NA
"","706 State Line Ave","Calumet City","IL","(G)","Bars/Clubs",1969,NA,"706 State Line Ave, Calumet City, IL",-87.5254563,41.6151834,"706 state line ave, hammond, il 46320, usa","Geocoded",NA,NA
"","46 154th St","Calumet City","IL","","Bars/Clubs",1969,NA,"46 154th St, Calumet City, IL",-87.5272015,41.6156426,"46 154th st, calumet city, il 60409, usa","Geocoded",NA,NA
"","106 N Walnut","Champaign","IL","(M)","Bars/Clubs",1969,NA,"106 N Walnut, Champaign, IL",-88.242292,40.116597,"106 n walnut st, champaign, il 61820, usa","Geocoded",NA,NA
"","2865 N Clark St","Chicago","IL","(*)","Bars/Clubs",1969,NA,"2865 N Clark St, Chicago, IL",-87.6460955,41.934492,"2865 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"","626 N Clark St","Chicago","IL","(M),(RT)","Bars/Clubs",1969,NA,"626 N Clark St, Chicago, IL",-87.6315616,41.8931997,"626 n clark st, chicago, il 60654, usa","Geocoded",NA,NA
"(touristy)","5640 W North St","Chicago","IL","(M),(S)","Bars/Clubs",1969,NA,"5640 W North St, Chicago, IL",-87.767224,41.90966,"5640 w north ave, chicago, il 60639, usa","Geocoded",NA,NA
"","3100 W Irving Pk Rd","Chicago","IL","","Bars/Clubs",1969,NA,"3100 W Irving Pk Rd, Chicago, IL",-87.7057537,41.9542554,"3100 irving park rd, chicago, il 60618, usa","Geocoded",NA,NA
"","2546 N Clark St","Chicago","IL","","Bars/Clubs",1969,NA,"2546 N Clark St, Chicago, IL",-87.6427259,41.9289435,"2546 n clark st, chicago, il 60614, usa","Geocoded",NA,NA
"","4600 S Kedzie","Chicago","IL","(M),(S)","Bars/Clubs",1969,NA,"4600 S Kedzie, Chicago, IL",-87.70437,41.809754,"4600 s kedzie ave, chicago, il 60632, usa","Geocoded",NA,NA
"","2265 N Lincoln","Chicago","IL","(*),(SM)","Bars/Clubs",1969,NA,"2265 N Lincoln, Chicago, IL",-87.6455291,41.9234339,"2265 n lincoln ave, chicago, il 60614, usa","Geocoded",NA,NA
"","800 N Dearborn ","Chicago","IL","","Bars/Clubs",1969,NA,"800 N Dearborn , Chicago, IL",-87.6301121,41.8968057,"800 n dearborn st, chicago, il 60610, usa","Geocoded",NA,NA
"","1842 N Wells","Chicago","IL","(*)","Bars/Clubs",1969,NA,"1842 N Wells, Chicago, IL",-87.6348708,41.9154511,"1842 n wells st, chicago, il 60614, usa","Geocoded",NA,NA
"","745 N Rush St","Chicago","IL","(*),(PE)","Bars/Clubs",1969,NA,"745 N Rush St, Chicago, IL",-87.6253325,41.8962636,"745 n rush st, chicago, il 60611, usa","Geocoded",NA,NA
"","1114 W Argyle ","Chicago","IL","","Bars/Clubs",1969,NA,"1114 W Argyle , Chicago, IL",-87.6583222,41.9734108,"1114 w argyle st, chicago, il 60640, usa","Geocoded",NA,NA
"","2835 N Broadway","Chicago","IL","(S)","Bars/Clubs",1969,NA,"2835 N Broadway, Chicago, IL",-87.6443982,41.9338209,"2835 n broadway, chicago, il 60614, usa","Geocoded",NA,NA
"","2959 Irving Pk Rd","Chicago","IL","(G)","Bars/Clubs",1969,NA,"2959 Irving Pk Rd, Chicago, IL",-87.7028281,41.9536551,"2959 irving park rd, chicago, il 60618, usa","Geocoded",NA,NA
